epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,240.623,2.19589,3.8176,2.4853,0.07312,0.10071,0.02416,0.00971,2.2964,5.49609,3.4212,0.00332301,0.00332301,0.0700929
2,483.378,1.62926,3.08849,1.96676,0.12426,0.20528,0.06358,0.03577,1.67714,3.92699,2.25808,0.00659045,0.00659045,0.040027
3,729.284,1.52948,2.836,1.85786,0.03909,0.16707,0.03465,0.01888,1.82237,6.64581,2.3892,0.00979188,0.00979188,0.00989508
4,970.805,1.42838,2.58026,1.75795,0.21581,0.25885,0.15559,0.09622,1.4925,3.81325,2.03279,0.009703,0.009703,0.009703
5,1211.77,1.36311,2.41646,1.69324,0.34594,0.36542,0.29943,0.19618,1.28448,2.69387,1.77496,0.009604,0.009604,0.009604
6,1452.91,1.31954,2.27381,1.64282,0.41476,0.32983,0.31036,0.20526,1.26514,2.37722,1.72847,0.009505,0.009505,0.009505
7,1695.1,1.2816,2.17899,1.61467,0.46621,0.39105,0.37262,0.25086,1.26549,2.2223,1.68398,0.009406,0.009406,0.009406
8,1937.04,1.25434,2.10232,1.59025,0.45624,0.4186,0.37342,0.25089,1.258,2.25211,1.66683,0.009307,0.009307,0.009307
9,2177.96,1.22791,2.01733,1.56138,0.4916,0.45828,0.42933,0.30455,1.19022,2.04177,1.62284,0.009208,0.009208,0.009208
10,2416.99,1.22531,1.97746,1.55404,0.54332,0.45064,0.47797,0.34306,1.12912,1.90661,1.57357,0.009109,0.009109,0.009109
11,2656,1.20685,1.92015,1.53448,0.56589,0.45131,0.48204,0.35004,1.11275,1.93005,1.55102,0.00901,0.00901,0.00901
12,2896.36,1.18873,1.86629,1.52427,0.52768,0.49303,0.49202,0.35761,1.11911,1.84095,1.55204,0.008911,0.008911,0.008911
13,3136.01,1.17415,1.81845,1.50956,0.56246,0.52956,0.52955,0.38342,1.09686,1.75499,1.51924,0.008812,0.008812,0.008812
14,3375,1.161,1.79197,1.49752,0.57542,0.50685,0.52215,0.37685,1.07586,1.72732,1.52211,0.008713,0.008713,0.008713
15,3613.75,1.15431,1.75305,1.48529,0.64321,0.51144,0.55882,0.41154,1.05427,1.65845,1.4762,0.008614,0.008614,0.008614
16,3851.69,1.13731,1.70789,1.471,0.60067,0.53735,0.56109,0.41278,1.06231,1.66928,1.49156,0.008515,0.008515,0.008515
17,4089.88,1.13367,1.69151,1.466,0.64935,0.52761,0.58381,0.42915,1.05281,1.58413,1.47047,0.008416,0.008416,0.008416
18,4327.22,1.10955,1.64437,1.448,0.64161,0.54889,0.5878,0.4347,1.04129,1.54975,1.47634,0.008317,0.008317,0.008317
19,4565.44,1.11457,1.63958,1.44898,0.65563,0.57716,0.61443,0.46229,0.99738,1.48801,1.43207,0.008218,0.008218,0.008218
20,4803.74,1.10796,1.60027,1.44485,0.68377,0.55139,0.61936,0.46634,1.00444,1.46274,1.44011,0.008119,0.008119,0.008119
21,5042.52,1.10238,1.5951,1.43567,0.68725,0.57411,0.62552,0.47629,0.98513,1.46034,1.41868,0.00802,0.00802,0.00802
22,5281.36,1.09297,1.57161,1.43104,0.70943,0.57061,0.63086,0.4734,1.00925,1.43455,1.43855,0.007921,0.007921,0.007921
23,5520.23,1.07424,1.53569,1.41388,0.65856,0.60816,0.63786,0.48397,0.97057,1.40389,1.39481,0.007822,0.007822,0.007822
24,5760,1.06988,1.52646,1.41389,0.66463,0.61199,0.64362,0.4901,0.98801,1.38885,1.41262,0.007723,0.007723,0.007723
25,5999.34,1.0707,1.5012,1.40662,0.7159,0.57938,0.64725,0.49844,0.95225,1.36993,1.38461,0.007624,0.007624,0.007624
26,6238.47,1.06581,1.48428,1.40184,0.73032,0.58466,0.65646,0.50596,0.94406,1.34695,1.37499,0.007525,0.007525,0.007525
27,6477.24,1.05953,1.45873,1.39835,0.71263,0.60373,0.65699,0.50765,0.93205,1.34153,1.36296,0.007426,0.007426,0.007426
28,6718.36,1.0508,1.43517,1.38956,0.71749,0.59906,0.66031,0.50368,0.94381,1.33714,1.37377,0.007327,0.007327,0.007327
29,6957.45,1.04617,1.4208,1.38479,0.73017,0.60989,0.66631,0.51418,0.9425,1.31665,1.37218,0.007228,0.007228,0.007228
30,7196.58,1.0418,1.42826,1.38122,0.70104,0.62501,0.66909,0.51822,0.93701,1.30946,1.35953,0.007129,0.007129,0.007129
31,7435.86,1.0371,1.40629,1.37764,0.73557,0.61751,0.6816,0.52805,0.92884,1.26432,1.34945,0.00703,0.00703,0.00703
32,7674.84,1.0297,1.3829,1.36588,0.72723,0.61726,0.67529,0.52192,0.9349,1.26719,1.35278,0.006931,0.006931,0.006931
33,7913.96,1.02283,1.36725,1.36888,0.73472,0.62601,0.68294,0.53008,0.92808,1.26242,1.35187,0.006832,0.006832,0.006832
34,8153.33,1.01973,1.35712,1.36096,0.75895,0.61528,0.68444,0.53473,0.91528,1.24567,1.33867,0.006733,0.006733,0.006733
35,8391.66,1.01903,1.3454,1.35968,0.72754,0.6329,0.68878,0.54042,0.90945,1.22612,1.333,0.006634,0.006634,0.006634
36,8629.5,1.02063,1.34383,1.35795,0.75586,0.61836,0.68829,0.54035,0.91315,1.22975,1.33499,0.006535,0.006535,0.006535
37,8866.78,1.01366,1.33354,1.35353,0.72871,0.63613,0.68689,0.53917,0.91182,1.2191,1.32822,0.006436,0.006436,0.006436
38,9104.29,1.01154,1.31337,1.35238,0.73139,0.65026,0.69138,0.54184,0.90984,1.21739,1.33167,0.006337,0.006337,0.006337
39,9340.92,1.00754,1.31554,1.3491,0.74761,0.63638,0.69013,0.54227,0.90963,1.212,1.32797,0.006238,0.006238,0.006238
40,9577.23,1.00458,1.30232,1.34773,0.7509,0.63854,0.69184,0.54322,0.90567,1.21185,1.32382,0.006139,0.006139,0.006139
41,9814.15,1.00107,1.2933,1.34229,0.73793,0.64688,0.69353,0.54588,0.90257,1.20696,1.32141,0.00604,0.00604,0.00604
42,10051.3,0.99283,1.27429,1.33377,0.74221,0.64773,0.69443,0.54666,0.90102,1.20745,1.32102,0.005941,0.005941,0.005941
43,10288.4,0.99317,1.2602,1.33229,0.73809,0.65189,0.69493,0.54607,0.9004,1.2058,1.31868,0.005842,0.005842,0.005842
44,10525,0.98239,1.24229,1.324,0.74867,0.64781,0.69711,0.54784,0.90188,1.20049,1.31848,0.005743,0.005743,0.005743
45,10761.6,0.97597,1.23211,1.31995,0.74813,0.64716,0.69843,0.54998,0.90228,1.19329,1.3175,0.005644,0.005644,0.005644
46,10998.5,0.98599,1.24296,1.32693,0.7547,0.64664,0.69929,0.55136,0.90061,1.1885,1.31523,0.005545,0.005545,0.005545
47,11235.7,0.97479,1.21911,1.32302,0.75054,0.65306,0.7004,0.55109,0.89806,1.18091,1.31367,0.005446,0.005446,0.005446
48,11473.6,0.97559,1.21797,1.3202,0.74452,0.65746,0.70029,0.55224,0.8973,1.17602,1.31328,0.005347,0.005347,0.005347
49,11712.2,0.97201,1.20332,1.31532,0.76067,0.64521,0.6996,0.55259,0.89648,1.17257,1.31234,0.005248,0.005248,0.005248
50,11949.8,0.96748,1.19467,1.31326,0.75757,0.648,0.70039,0.55262,0.89743,1.1709,1.31241,0.005149,0.005149,0.005149
51,12187.2,0.96048,1.18211,1.30843,0.76297,0.64438,0.70086,0.55382,0.89671,1.16705,1.31145,0.00505,0.00505,0.00505
52,12425,0.95916,1.17961,1.30891,0.76606,0.6461,0.70193,0.55548,0.89579,1.16585,1.31015,0.004951,0.004951,0.004951
53,12663.2,0.96268,1.17667,1.31088,0.75321,0.6522,0.70276,0.55561,0.89632,1.16413,1.31034,0.004852,0.004852,0.004852
54,12902.1,0.94962,1.16411,1.29847,0.75486,0.65228,0.70355,0.55607,0.8965,1.16201,1.30993,0.004753,0.004753,0.004753
55,13142.4,0.95675,1.16767,1.30349,0.75497,0.6538,0.70355,0.55608,0.89676,1.16094,1.31,0.004654,0.004654,0.004654
