epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,292.221,2.26464,3.87067,2.48675,0.00774,0.4086,0.01023,0.00399,2.39427,7.48671,2.90629,0.00332301,0.00332301,0.0700929
2,588.475,1.6611,3.10706,1.95111,0.22213,0.09833,0.02316,0.01174,1.96347,5.99918,2.56982,0.00659045,0.00659045,0.040027
3,885.242,1.52788,2.82242,1.82803,0.21283,0.19947,0.08294,0.04442,1.68573,4.07701,2.1314,0.00979188,0.00979188,0.00989508
4,1181.23,1.43046,2.59055,1.73688,0.24856,0.27565,0.21156,0.13274,1.47149,3.22633,1.95689,0.009703,0.009703,0.009703
5,1477.49,1.36207,2.41279,1.6741,0.2731,0.31397,0.23933,0.14584,1.39444,2.99618,1.86755,0.009604,0.009604,0.009604
6,1773.69,1.31925,2.27561,1.62999,0.3684,0.3398,0.2911,0.18828,1.31318,2.5615,1.77163,0.009505,0.009505,0.009505
7,2069.4,1.28394,2.17998,1.60121,0.32001,0.36374,0.27615,0.17593,1.30456,2.76994,1.73441,0.009406,0.009406,0.009406
8,2365.55,1.25122,2.09936,1.57485,0.42264,0.39606,0.35696,0.239,1.25036,2.32874,1.68126,0.009307,0.009307,0.009307
9,2661.88,1.22748,2.02723,1.54636,0.51073,0.4226,0.41104,0.28138,1.17129,2.07479,1.63102,0.009208,0.009208,0.009208
10,2957.93,1.22214,1.97659,1.53488,0.48639,0.40524,0.41214,0.28438,1.1947,2.11529,1.63468,0.009109,0.009109,0.009109
11,3254.11,1.20412,1.91267,1.51501,0.54591,0.45719,0.46458,0.33302,1.10461,2.01803,1.54858,0.00901,0.00901,0.00901
12,3549.96,1.18896,1.85879,1.50844,0.55494,0.46444,0.49302,0.3487,1.11149,1.93421,1.5484,0.008911,0.008911,0.008911
13,3845.85,1.16796,1.81149,1.48919,0.59054,0.48171,0.5094,0.36425,1.08529,1.84212,1.51113,0.008812,0.008812,0.008812
14,4141.64,1.16206,1.78265,1.48134,0.5775,0.50993,0.52113,0.37599,1.06596,1.77346,1.51343,0.008713,0.008713,0.008713
15,4437.45,1.15183,1.74571,1.46654,0.60023,0.53177,0.55775,0.40569,1.0581,1.68393,1.48803,0.008614,0.008614,0.008614
16,4733.53,1.13427,1.70421,1.45725,0.62181,0.51686,0.54584,0.40095,1.05061,1.68182,1.47935,0.008515,0.008515,0.008515
17,5029.58,1.12846,1.68773,1.44998,0.64028,0.52488,0.5677,0.41971,1.04271,1.62567,1.45553,0.008416,0.008416,0.008416
18,5325.24,1.10664,1.63673,1.43354,0.65055,0.55715,0.59722,0.44429,1.02453,1.55359,1.44875,0.008317,0.008317,0.008317
19,5621.54,1.11507,1.6376,1.43515,0.66422,0.56611,0.60952,0.44993,1.00407,1.53101,1.43807,0.008218,0.008218,0.008218
