epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,522.553,2.04585,3.58706,2.30254,0.17489,0.25643,0.08804,0.0459,1.73008,4.08471,2.29265,0.00332817,0.00332817,0.0700464
2,1045.05,1.52842,2.89401,1.86127,0.17617,0.26178,0.14621,0.08689,1.45519,3.00154,1.99174,0.00652961,0.00652961,0.0399145
3,1562.98,1.41635,2.64383,1.75958,0.23112,0.3221,0.19348,0.12441,1.30836,2.81058,1.77877,0.00959904,0.00959904,0.00965064
4,2080.95,1.35099,2.46279,1.70051,0.25497,0.34269,0.23849,0.15783,1.25068,2.71076,1.7466,0.009406,0.009406,0.009406
5,2597,1.29909,2.31463,1.65478,0.39664,0.37823,0.32946,0.21687,1.20887,2.31181,1.69454,0.009208,0.009208,0.009208
6,3113.23,1.25928,2.16404,1.60455,0.42321,0.41713,0.38537,0.26199,1.15256,2.10577,1.60355,0.00901,0.00901,0.00901
7,3628.8,1.22545,2.07837,1.58043,0.46416,0.41146,0.41568,0.2856,1.12767,2.01978,1.55807,0.008812,0.008812,0.008812
8,4144.38,1.19991,1.99545,1.55302,0.51001,0.46423,0.45081,0.31721,1.11281,1.96889,1.5395,0.008614,0.008614,0.008614
9,4660.17,1.17219,1.90769,1.52609,0.54602,0.51799,0.52522,0.37658,1.05428,1.7406,1.48202,0.008416,0.008416,0.008416
10,5175.8,1.15378,1.84446,1.50509,0.59361,0.48371,0.51973,0.37895,1.04269,1.73843,1.48098,0.008218,0.008218,0.008218
11,5692.83,1.13608,1.79602,1.49624,0.59862,0.48755,0.51849,0.37448,1.03611,1.71973,1.47537,0.00802,0.00802,0.00802
12,6210.56,1.12706,1.74701,1.48266,0.61036,0.52793,0.55591,0.40946,1.01207,1.6063,1.4384,0.007822,0.007822,0.007822
13,6728.12,1.10949,1.69053,1.46291,0.63267,0.52499,0.57777,0.42881,0.9865,1.52593,1.40444,0.007624,0.007624,0.007624
14,7246.8,1.10077,1.65387,1.45694,0.6914,0.52802,0.59543,0.44754,0.96688,1.47972,1.40467,0.007426,0.007426,0.007426
15,7764.73,1.07976,1.60965,1.44166,0.66018,0.56535,0.60247,0.45285,0.94939,1.46344,1.38661,0.007228,0.007228,0.007228
16,8280.7,1.07635,1.59567,1.43581,0.66664,0.57692,0.6146,0.46029,0.96163,1.41277,1.38694,0.00703,0.00703,0.00703
17,8796.89,1.06469,1.55072,1.42368,0.68012,0.58778,0.62685,0.47535,0.95359,1.3857,1.37401,0.006832,0.006832,0.006832
18,9312.96,1.04873,1.51412,1.4069,0.65504,0.59042,0.62337,0.47942,0.93615,1.37417,1.36909,0.006634,0.006634,0.006634
19,9830.51,1.04199,1.50109,1.40053,0.70984,0.5832,0.64374,0.4969,0.91053,1.32364,1.33052,0.006436,0.006436,0.006436
20,10347.5,1.02731,1.45459,1.38969,0.71914,0.58776,0.65059,0.50291,0.90028,1.29657,1.32388,0.006238,0.006238,0.006238
21,10862.9,1.02928,1.44826,1.39097,0.71886,0.60509,0.65821,0.51185,0.89026,1.27847,1.32094,0.00604,0.00604,0.00604
22,11378.3,1.01482,1.42553,1.38068,0.70034,0.59749,0.6558,0.5103,0.87958,1.2743,1.30953,0.005842,0.005842,0.005842
23,11894.3,1.00414,1.3913,1.36856,0.74557,0.60353,0.67158,0.52431,0.88295,1.23867,1.30867,0.005644,0.005644,0.005644
24,12410.9,0.99829,1.37903,1.36956,0.70568,0.62373,0.67139,0.52598,0.87753,1.22715,1.30453,0.005446,0.005446,0.005446
25,12929.3,0.98994,1.346,1.35453,0.72942,0.61298,0.66962,0.52565,0.87521,1.23398,1.30367,0.005248,0.005248,0.005248
26,13448,0.98147,1.33265,1.34886,0.73693,0.62648,0.67653,0.53497,0.85537,1.20377,1.28183,0.00505,0.00505,0.00505
27,13966.6,0.97259,1.30878,1.3433,0.74126,0.63141,0.68038,0.53851,0.86136,1.20651,1.29031,0.004852,0.004852,0.004852
28,14485.1,0.9648,1.28563,1.33631,0.73453,0.63756,0.68777,0.54537,0.86165,1.18105,1.28585,0.004654,0.004654,0.004654
