epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,491.105,2.02643,3.52074,2.29387,0.16364,0.18798,0.05802,0.02854,1.86481,4.81789,2.49596,0.00332817,0.00332817,0.0700464
2,982.092,1.5224,2.85254,1.86165,0.2473,0.21613,0.16984,0.10611,1.39354,3.20629,1.8691,0.00652961,0.00652961,0.0399145
3,1469.1,1.41281,2.59291,1.76369,0.27535,0.29352,0.20212,0.12747,1.30311,3.00304,1.76881,0.00959904,0.00959904,0.00965064
4,1956.64,1.3481,2.3977,1.6988,0.36212,0.35825,0.30116,0.19658,1.22714,2.55638,1.71348,0.009406,0.009406,0.009406
5,2443.54,1.29323,2.25066,1.65351,0.39715,0.42956,0.37592,0.24679,1.22492,2.13686,1.68776,0.009208,0.009208,0.009208
6,2931.16,1.25116,2.10682,1.60306,0.46258,0.433,0.42652,0.28532,1.15621,2.01311,1.61849,0.00901,0.00901,0.00901
7,3418.68,1.21837,2.01592,1.5773,0.48297,0.47032,0.45707,0.31956,1.13144,1.88565,1.56392,0.008812,0.008812,0.008812
8,3905.54,1.1904,1.941,1.54775,0.5052,0.4627,0.43606,0.31206,1.10906,1.93087,1.56544,0.008614,0.008614,0.008614
9,4392.4,1.16512,1.86391,1.52227,0.56905,0.52158,0.52243,0.37137,1.07812,1.70475,1.52161,0.008416,0.008416,0.008416
10,4879.55,1.14538,1.80222,1.50147,0.59247,0.51607,0.53811,0.39607,1.0212,1.69473,1.46424,0.008218,0.008218,0.008218
11,5366.29,1.12537,1.74947,1.48646,0.6593,0.50081,0.54756,0.39783,1.02442,1.66024,1.47132,0.00802,0.00802,0.00802
12,5854,1.11426,1.69536,1.47327,0.66526,0.52722,0.58012,0.43264,1.0033,1.55258,1.43635,0.007822,0.007822,0.007822
13,6342.09,1.09614,1.64618,1.45166,0.67471,0.53676,0.5926,0.43881,0.99109,1.51356,1.42565,0.007624,0.007624,0.007624
14,6829.96,1.08683,1.60494,1.44377,0.68449,0.55025,0.60882,0.45715,0.97835,1.43222,1.41326,0.007426,0.007426,0.007426
15,7317.24,1.06513,1.55983,1.42676,0.67855,0.57956,0.62573,0.47118,0.94714,1.40134,1.39093,0.007228,0.007228,0.007228
16,7805.15,1.06139,1.54182,1.42123,0.66393,0.58849,0.62175,0.46798,0.95829,1.39464,1.3863,0.00703,0.00703,0.00703
17,8293.23,1.04997,1.50215,1.41273,0.71379,0.57459,0.63355,0.48324,0.939,1.34631,1.38158,0.006832,0.006832,0.006832
18,8781.48,1.03211,1.46497,1.39381,0.67895,0.599,0.64069,0.49221,0.9219,1.3252,1.34687,0.006634,0.006634,0.006634
19,9269.59,1.02777,1.45032,1.38926,0.69311,0.62448,0.65609,0.50403,0.90993,1.27277,1.34066,0.006436,0.006436,0.006436
20,9757.5,1.01357,1.40554,1.3812,0.74795,0.57179,0.65926,0.50828,0.90799,1.2624,1.33928,0.006238,0.006238,0.006238
21,10246.1,1.01646,1.39364,1.38053,0.72818,0.61305,0.66997,0.5175,0.89607,1.24235,1.32885,0.00604,0.00604,0.00604
22,10733.9,1.00435,1.38005,1.37065,0.71549,0.6157,0.66509,0.51603,0.89138,1.24552,1.32187,0.005842,0.005842,0.005842
23,11221.8,0.99179,1.34123,1.35888,0.71138,0.61135,0.66901,0.51702,0.88925,1.23644,1.32465,0.005644,0.005644,0.005644
24,11709.7,0.98603,1.33139,1.3582,0.73214,0.61016,0.67773,0.53291,0.87337,1.20555,1.30439,0.005446,0.005446,0.005446
25,12197.6,0.97793,1.30173,1.34314,0.73354,0.62723,0.6854,0.53888,0.86698,1.189,1.3023,0.005248,0.005248,0.005248
26,12685.1,0.96922,1.28216,1.33966,0.76315,0.61157,0.68543,0.53687,0.87006,1.17558,1.30078,0.00505,0.00505,0.00505
27,13171.7,0.96261,1.267,1.33316,0.76532,0.61819,0.68798,0.53722,0.87893,1.1751,1.30462,0.004852,0.004852,0.004852
28,13658.3,0.95529,1.23829,1.32678,0.74622,0.63545,0.68902,0.54227,0.86478,1.16503,1.29154,0.004654,0.004654,0.004654
29,14145.4,0.94739,1.22838,1.32178,0.72814,0.63141,0.68853,0.54369,0.8631,1.15426,1.28659,0.004456,0.004456,0.004456
30,14631.7,0.94739,1.21834,1.32304,0.74067,0.62212,0.69091,0.5474,0.85506,1.1516,1.27918,0.004258,0.004258,0.004258
31,15117.9,0.93544,1.1973,1.3127,0.75325,0.62301,0.69373,0.54997,0.85405,1.15225,1.28242,0.00406,0.00406,0.00406
32,15605.2,0.93196,1.18421,1.30788,0.76125,0.637,0.69825,0.55302,0.85028,1.13684,1.28192,0.003862,0.003862,0.003862
33,16090.8,0.92815,1.16594,1.30445,0.76435,0.63673,0.69918,0.55428,0.85669,1.1328,1.28347,0.003664,0.003664,0.003664
34,16574.6,0.91784,1.15095,1.29414,0.7797,0.62614,0.69946,0.55492,0.85211,1.12501,1.27832,0.003466,0.003466,0.003466
35,17057.2,0.91597,1.13985,1.29434,0.73684,0.64998,0.70004,0.55574,0.84838,1.11977,1.27327,0.003268,0.003268,0.003268
36,17538.9,0.91413,1.13002,1.29265,0.76138,0.6403,0.70316,0.55765,0.84479,1.10989,1.26966,0.00307,0.00307,0.00307
37,18020.8,0.90665,1.11795,1.28588,0.77186,0.63308,0.70497,0.55943,0.8444,1.10716,1.27146,0.002872,0.002872,0.002872
38,18502.6,0.9043,1.10041,1.28418,0.78553,0.62686,0.70604,0.55953,0.84069,1.10594,1.26965,0.002674,0.002674,0.002674
39,18985,0.88951,1.07401,1.27358,0.76056,0.64129,0.70789,0.5627,0.84574,1.10489,1.2738,0.002476,0.002476,0.002476
40,19466.7,0.88719,1.07911,1.27456,0.75692,0.64891,0.70931,0.56427,0.84588,1.09916,1.27406,0.002278,0.002278,0.002278
41,19948.5,0.82894,0.92165,1.24277,0.75871,0.64857,0.70871,0.56416,0.84262,1.09511,1.26959,0.00208,0.00208,0.00208
42,20428.8,0.81661,0.89439,1.23248,0.77055,0.63607,0.71044,0.56527,0.84058,1.08871,1.26788,0.001882,0.001882,0.001882
43,20909.3,0.81838,0.88811,1.23192,0.78484,0.62576,0.71072,0.5652,0.83897,1.08482,1.26662,0.001684,0.001684,0.001684
44,21389.2,0.80438,0.8662,1.21749,0.77209,0.63319,0.71063,0.5666,0.83702,1.08292,1.26487,0.001486,0.001486,0.001486
45,21869.1,0.79556,0.85289,1.21516,0.78144,0.63089,0.71097,0.56666,0.83537,1.08045,1.26338,0.001288,0.001288,0.001288
46,22350.2,0.8012,0.84435,1.21526,0.79126,0.62372,0.71067,0.56713,0.83425,1.0801,1.26247,0.00109,0.00109,0.00109
47,22836.5,0.7813,0.82437,1.20279,0.79026,0.62363,0.71064,0.5682,0.83543,1.07786,1.26411,0.000892,0.000892,0.000892
48,23324,0.78528,0.81662,1.20196,0.78253,0.62787,0.7105,0.5678,0.83569,1.07784,1.26423,0.000694,0.000694,0.000694
49,23811.2,0.7753,0.7986,1.19732,0.78108,0.63041,0.71046,0.56792,0.83628,1.07746,1.26485,0.000496,0.000496,0.000496
50,24297.6,0.77261,0.79754,1.19576,0.77863,0.63221,0.71044,0.56768,0.83621,1.07745,1.26458,0.000298,0.000298,0.000298
