epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,516.072,2.02753,3.54947,2.29632,0.66954,0.07138,0.06933,0.03608,1.69869,5.45448,2.28682,0.00332817,0.00332817,0.0700464
2,1030.67,1.52512,2.87101,1.87162,0.21629,0.26181,0.14849,0.0844,1.5058,3.05644,2.00141,0.00652961,0.00652961,0.0399145
3,1540.4,1.41684,2.61499,1.76963,0.21601,0.35412,0.22913,0.15131,1.30236,2.90138,1.76353,0.00959904,0.00959904,0.00965064
4,2049.75,1.35149,2.42163,1.70104,0.32449,0.37006,0.27507,0.17825,1.24427,2.58266,1.72716,0.009406,0.009406,0.009406
5,2557.97,1.29262,2.26806,1.64861,0.36607,0.40305,0.35961,0.24371,1.17342,2.21767,1.65755,0.009208,0.009208,0.009208
6,3066.38,1.25287,2.12181,1.60041,0.47844,0.43025,0.40934,0.28299,1.15672,1.98872,1.62283,0.00901,0.00901,0.00901
7,3574.9,1.21867,2.0357,1.57549,0.50618,0.4417,0.44498,0.31413,1.11552,1.94416,1.55454,0.008812,0.008812,0.008812
8,4083.39,1.18729,1.94854,1.54548,0.52585,0.48458,0.48275,0.34314,1.10178,1.86876,1.54703,0.008614,0.008614,0.008614
9,4591.82,1.1647,1.8725,1.51822,0.5602,0.48615,0.50423,0.36292,1.06662,1.76185,1.50548,0.008416,0.008416,0.008416
10,5099.94,1.14224,1.80645,1.49455,0.6214,0.50198,0.5458,0.40655,1.00672,1.63718,1.45253,0.008218,0.008218,0.008218
11,5608.71,1.12393,1.75663,1.48353,0.6628,0.5002,0.55512,0.40456,1.02486,1.62374,1.46803,0.00802,0.00802,0.00802
12,6117.97,1.11439,1.70084,1.4708,0.65918,0.54211,0.57664,0.42941,0.98903,1.57581,1.43351,0.007822,0.007822,0.007822
13,6626.14,1.09489,1.6501,1.45138,0.66195,0.55636,0.59688,0.4446,0.98168,1.48102,1.41355,0.007624,0.007624,0.007624
14,7134.76,1.08104,1.60131,1.43985,0.66047,0.55352,0.59988,0.45042,0.98427,1.4698,1.41637,0.007426,0.007426,0.007426
15,7643.02,1.06344,1.5596,1.42332,0.69315,0.58718,0.62901,0.47175,0.94368,1.39555,1.37672,0.007228,0.007228,0.007228
16,8151.47,1.05728,1.53995,1.41852,0.71825,0.57308,0.63646,0.47982,0.94545,1.37767,1.37432,0.00703,0.00703,0.00703
17,8660.19,1.04804,1.50152,1.40681,0.7276,0.57023,0.64199,0.49711,0.92103,1.32634,1.34364,0.006832,0.006832,0.006832
18,9169.51,1.02848,1.45399,1.39125,0.72732,0.58835,0.65312,0.50235,0.92801,1.31211,1.35244,0.006634,0.006634,0.006634
19,9678.34,1.0232,1.44498,1.38653,0.70735,0.62631,0.6633,0.51133,0.91021,1.26619,1.33667,0.006436,0.006436,0.006436
20,10186.8,1.01052,1.39959,1.37641,0.70497,0.62664,0.66444,0.51449,0.89814,1.28038,1.3234,0.006238,0.006238,0.006238
21,10695.7,1.0105,1.38808,1.37559,0.7118,0.62712,0.66962,0.52165,0.88889,1.25703,1.32073,0.00604,0.00604,0.00604
22,11205.3,0.99768,1.36205,1.36482,0.72809,0.61461,0.6699,0.52086,0.88635,1.24049,1.31306,0.005842,0.005842,0.005842
23,11715.1,0.98737,1.32878,1.3523,0.72744,0.63253,0.67688,0.52661,0.88387,1.22359,1.3105,0.005644,0.005644,0.005644
24,12224.9,0.98134,1.31445,1.35492,0.73374,0.63815,0.68306,0.53784,0.87367,1.19122,1.30158,0.005446,0.005446,0.005446
25,12735.1,0.97303,1.2858,1.33952,0.73616,0.63708,0.68222,0.53688,0.86893,1.21636,1.29844,0.005248,0.005248,0.005248
26,13245.8,0.96542,1.27196,1.33754,0.73897,0.63749,0.68501,0.54045,0.8623,1.18248,1.29255,0.00505,0.00505,0.00505
27,13756.3,0.95844,1.2541,1.33121,0.77496,0.63822,0.69319,0.54342,0.86901,1.17224,1.29865,0.004852,0.004852,0.004852
28,14267.4,0.94964,1.22405,1.32353,0.76457,0.64084,0.69574,0.5487,0.8621,1.15984,1.28874,0.004654,0.004654,0.004654
29,14777.8,0.93786,1.20604,1.31418,0.74463,0.64665,0.69533,0.54864,0.85823,1.15509,1.28211,0.004456,0.004456,0.004456
30,15288.1,0.93867,1.20031,1.31643,0.75728,0.63974,0.69707,0.55246,0.85615,1.1448,1.2823,0.004258,0.004258,0.004258
31,15799.5,0.93014,1.17679,1.30862,0.76402,0.64462,0.69799,0.55076,0.85019,1.13915,1.27391,0.00406,0.00406,0.00406
32,16311.3,0.9264,1.1658,1.30308,0.76831,0.64321,0.69852,0.5533,0.85017,1.1377,1.2773,0.003862,0.003862,0.003862
33,16823.9,0.92036,1.14916,1.30004,0.7737,0.63789,0.70132,0.55656,0.84817,1.13034,1.27369,0.003664,0.003664,0.003664
34,17336.1,0.91249,1.13597,1.29286,0.77417,0.63861,0.7003,0.55759,0.84694,1.12288,1.27328,0.003466,0.003466,0.003466
35,17849.1,0.91025,1.1216,1.29224,0.76497,0.64997,0.70088,0.55814,0.84295,1.12007,1.26995,0.003268,0.003268,0.003268
36,18361.9,0.90706,1.11545,1.28968,0.76263,0.65033,0.70155,0.55868,0.84059,1.11817,1.26475,0.00307,0.00307,0.00307
37,18873.4,0.89973,1.10199,1.28122,0.76313,0.65264,0.70247,0.55937,0.83778,1.11658,1.26327,0.002872,0.002872,0.002872
38,19385.8,0.90154,1.08384,1.28214,0.76534,0.64908,0.70407,0.56256,0.83668,1.11382,1.25973,0.002674,0.002674,0.002674
39,19896.3,0.8839,1.06645,1.26908,0.75692,0.6553,0.70461,0.563,0.83453,1.11258,1.2576,0.002476,0.002476,0.002476
40,20406.4,0.88329,1.06405,1.27242,0.7632,0.6553,0.70713,0.56527,0.83244,1.11109,1.25462,0.002278,0.002278,0.002278
41,20916.9,0.82172,0.90408,1.23697,0.76588,0.65192,0.7067,0.56587,0.82804,1.10837,1.25299,0.00208,0.00208,0.00208
42,21424.7,0.81103,0.88039,1.22752,0.7682,0.64453,0.70668,0.56738,0.82363,1.1003,1.24931,0.001882,0.001882,0.001882
43,21933,0.80801,0.86935,1.22318,0.75922,0.65565,0.70754,0.56924,0.82255,1.09817,1.24861,0.001684,0.001684,0.001684
44,22441.1,0.80223,0.85052,1.21644,0.74339,0.66493,0.70816,0.5702,0.82237,1.0984,1.24916,0.001486,0.001486,0.001486
45,22948.8,0.78709,0.83459,1.20711,0.74874,0.66037,0.7078,0.57027,0.8204,1.09526,1.24782,0.001288,0.001288,0.001288
46,23456.1,0.79498,0.82728,1.20918,0.74478,0.66428,0.70768,0.57014,0.82041,1.09458,1.24772,0.00109,0.00109,0.00109
47,23963.6,0.77697,0.80362,1.19702,0.74403,0.66378,0.70756,0.57136,0.82047,1.09359,1.24809,0.000892,0.000892,0.000892
48,24471.2,0.77816,0.79684,1.19428,0.74486,0.65967,0.70771,0.57099,0.81979,1.09367,1.24685,0.000694,0.000694,0.000694
49,24978.7,0.76804,0.78629,1.19106,0.74734,0.65959,0.70737,0.57055,0.82027,1.09401,1.24713,0.000496,0.000496,0.000496
50,25486.1,0.76463,0.78122,1.18809,0.74673,0.66021,0.70806,0.57149,0.82003,1.09392,1.24676,0.000298,0.000298,0.000298
