epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,541.701,2.03857,3.58111,2.31953,0.40156,0.14781,0.07771,0.0412,1.68052,4.09256,2.26598,0.00332817,0.00332817,0.0700464
2,1082.05,1.53059,2.88944,1.88105,0.22959,0.2328,0.14228,0.08594,1.47593,3.3428,1.98782,0.00652961,0.00652961,0.0399145
3,1619.8,1.42399,2.65203,1.78593,0.22509,0.37224,0.22089,0.13999,1.30202,2.82606,1.78901,0.00959904,0.00959904,0.00965064
4,2159.08,1.35084,2.45433,1.71564,0.28413,0.34396,0.26429,0.17337,1.21982,2.69352,1.72935,0.009406,0.009406,0.009406
5,2696.41,1.29361,2.30079,1.66718,0.3656,0.37408,0.32021,0.21326,1.1986,2.31596,1.69216,0.009208,0.009208,0.009208
6,3232.58,1.25794,2.15627,1.62014,0.40412,0.43765,0.39993,0.2756,1.15402,2.07901,1.64343,0.00901,0.00901,0.00901
7,3767.66,1.22419,2.06204,1.59451,0.49454,0.46192,0.44485,0.31017,1.13607,1.95867,1.58614,0.008812,0.008812,0.008812
8,4302.67,1.19503,1.96881,1.56438,0.542,0.47277,0.48294,0.35025,1.06653,1.90649,1.51497,0.008614,0.008614,0.008614
9,4836.75,1.17117,1.89033,1.53826,0.54456,0.49939,0.5037,0.36734,1.03853,1.73387,1.477,0.008416,0.008416,0.008416
10,5371.34,1.14863,1.82517,1.51729,0.56677,0.52938,0.53976,0.39201,1.0349,1.64235,1.48797,0.008218,0.008218,0.008218
11,5905.9,1.1291,1.76958,1.50093,0.60447,0.5076,0.54369,0.39671,1.00729,1.62981,1.46633,0.00802,0.00802,0.00802
12,6440.05,1.11869,1.71042,1.48651,0.63955,0.54732,0.57206,0.42383,0.99413,1.59001,1.43578,0.007822,0.007822,0.007822
13,6973.87,1.09762,1.66131,1.46631,0.62627,0.57588,0.60215,0.44743,0.98405,1.48693,1.42249,0.007624,0.007624,0.007624
14,7511.26,1.08563,1.62007,1.45512,0.71063,0.54433,0.6186,0.46699,0.95152,1.4182,1.4031,0.007426,0.007426,0.007426
15,8049.25,1.06757,1.56921,1.43858,0.68985,0.57225,0.62779,0.47178,0.93623,1.41047,1.3834,0.007228,0.007228,0.007228
16,8587.29,1.06075,1.54902,1.43138,0.68976,0.5883,0.63378,0.47496,0.94956,1.3866,1.37772,0.00703,0.00703,0.00703
17,9124.9,1.04888,1.50726,1.41904,0.67675,0.61104,0.6417,0.49111,0.926,1.3382,1.36615,0.006832,0.006832,0.006832
18,9662.75,1.03317,1.46574,1.40568,0.69474,0.6247,0.65644,0.50444,0.91884,1.3056,1.35788,0.006634,0.006634,0.006634
19,10200.8,1.02478,1.45596,1.39721,0.67234,0.63931,0.66116,0.51032,0.89544,1.26707,1.33268,0.006436,0.006436,0.006436
20,10738,1.01255,1.40952,1.38796,0.69765,0.61722,0.67014,0.51527,0.89702,1.25135,1.33032,0.006238,0.006238,0.006238
21,11275.9,1.01241,1.39821,1.38564,0.70997,0.62766,0.6756,0.52395,0.88727,1.22694,1.32429,0.00604,0.00604,0.00604
22,11813.7,1.00063,1.3766,1.37762,0.72795,0.62567,0.67834,0.52578,0.87592,1.21232,1.31437,0.005842,0.005842,0.005842
23,12351.3,0.99141,1.34136,1.36641,0.73297,0.61974,0.67939,0.52832,0.8787,1.20732,1.31774,0.005644,0.005644,0.005644
24,12889.8,0.98574,1.32943,1.36931,0.74102,0.6177,0.68326,0.53433,0.87283,1.18232,1.30795,0.005446,0.005446,0.005446
25,13428.2,0.97636,1.30346,1.35356,0.73852,0.61941,0.68153,0.53688,0.86128,1.18687,1.3015,0.005248,0.005248,0.005248
26,13965.5,0.97074,1.28023,1.34972,0.74631,0.62978,0.68577,0.53925,0.86463,1.17013,1.30043,0.00505,0.00505,0.00505
27,14504.2,0.95985,1.25859,1.33987,0.75501,0.63031,0.69334,0.54725,0.86245,1.15325,1.30327,0.004852,0.004852,0.004852
28,15041.8,0.94894,1.23424,1.33295,0.73935,0.63712,0.68977,0.54596,0.85135,1.15258,1.293,0.004654,0.004654,0.004654
29,15580.5,0.94407,1.21809,1.32832,0.75323,0.62574,0.69497,0.55091,0.85346,1.14421,1.29288,0.004456,0.004456,0.004456
