epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,580.31,2.13089,4.19513,0.03089,0.17636,0.11147,0.05024,0.02102,1.9834,4.40484,0.0482,0.00332817,0.00332817,0.0700464
2,1156.08,1.73623,3.31168,0.02345,0.18142,0.20855,0.1119,0.06113,1.64848,3.65188,0.03703,0.00652961,0.00652961,0.0399145
3,1725.7,1.62652,3.01835,0.02112,0.21763,0.25706,0.15505,0.09046,1.54836,3.48812,0.03401,0.00959904,0.00959904,0.00965064
4,2296,1.55512,2.79888,0.02031,0.20106,0.24429,0.14362,0.08527,1.48478,3.23222,0.03363,0.009406,0.009406,0.009406
5,2865.44,1.49541,2.63458,0.01935,0.32574,0.33035,0.27205,0.17508,1.37828,2.5646,0.02976,0.009208,0.009208,0.009208
6,3435.75,1.45812,2.50441,0.01825,0.37274,0.35351,0.30058,0.18719,1.38375,2.55118,0.03005,0.00901,0.00901,0.00901
7,4006.56,1.41986,2.41373,0.01796,0.42448,0.40361,0.37449,0.23927,1.37958,2.24374,0.03029,0.008812,0.008812,0.008812
8,4576.11,1.38994,2.33865,0.01744,0.45667,0.41043,0.37979,0.25106,1.27575,2.20343,0.02729,0.008614,0.008614,0.008614
9,5145.35,1.37059,2.26328,0.017,0.51289,0.45483,0.44298,0.30574,1.21404,2.04921,0.02522,0.008416,0.008416,0.008416
10,5715.36,1.34682,2.17549,0.01664,0.59104,0.42913,0.47493,0.33304,1.21125,1.96945,0.02566,0.008218,0.008218,0.008218
11,6285.18,1.3337,2.12487,0.01658,0.53548,0.47737,0.48703,0.34139,1.16236,1.97147,0.02375,0.00802,0.00802,0.00802
12,6855.31,1.31833,2.07846,0.01618,0.57473,0.50318,0.52022,0.36613,1.16265,1.86194,0.02367,0.007822,0.007822,0.007822
13,7425.81,1.30545,2.02564,0.01589,0.58195,0.5306,0.54438,0.38634,1.12457,1.78484,0.02294,0.007624,0.007624,0.007624
14,7996.11,1.28646,1.9771,0.01566,0.60256,0.54313,0.56043,0.40761,1.12341,1.72105,0.02284,0.007426,0.007426,0.007426
15,8566.68,1.27364,1.91796,0.01536,0.6508,0.52591,0.57531,0.42011,1.0896,1.70983,0.022,0.007228,0.007228,0.007228
16,9137.27,1.25909,1.8987,0.01534,0.65337,0.55189,0.58297,0.42659,1.08628,1.65653,0.02164,0.00703,0.00703,0.00703
17,9708.07,1.25544,1.87,0.01527,0.6566,0.57258,0.59725,0.43964,1.06123,1.62424,0.02105,0.006832,0.006832,0.006832
18,10278.4,1.23447,1.81036,0.01483,0.68065,0.56085,0.60019,0.44759,1.05222,1.61258,0.02068,0.006634,0.006634,0.006634
19,10848.9,1.22676,1.79868,0.01483,0.71155,0.558,0.62042,0.46364,1.03415,1.53266,0.02035,0.006436,0.006436,0.006436
20,11418.8,1.20681,1.7362,0.01467,0.68941,0.58191,0.63194,0.47304,1.0261,1.52528,0.0199,0.006238,0.006238,0.006238
21,11989,1.20944,1.72676,0.01451,0.68391,0.59523,0.63217,0.47833,1.00816,1.50797,0.01968,0.00604,0.00604,0.00604
22,12560.1,1.20068,1.70576,0.01451,0.69834,0.58872,0.63406,0.47968,1.01635,1.49758,0.01968,0.005842,0.005842,0.005842
23,13131.2,1.19113,1.66753,0.01408,0.6959,0.59306,0.64499,0.49079,1.00373,1.46266,0.01934,0.005644,0.005644,0.005644
24,13702.4,1.18266,1.65252,0.01433,0.69128,0.60423,0.64942,0.49492,0.99637,1.45263,0.01914,0.005446,0.005446,0.005446
25,14273.7,1.1703,1.6074,0.01381,0.72081,0.59777,0.65411,0.50194,0.9951,1.44191,0.01911,0.005248,0.005248,0.005248
26,14844.6,1.1682,1.59836,0.01386,0.73806,0.59933,0.66186,0.50922,0.97855,1.42159,0.01881,0.00505,0.00505,0.00505
27,15416.6,1.15174,1.57468,0.01359,0.72557,0.61837,0.66852,0.51301,0.98287,1.40666,0.0189,0.004852,0.004852,0.004852
28,15988.3,1.14574,1.53969,0.01364,0.70976,0.62881,0.67132,0.51683,0.96997,1.40152,0.01864,0.004654,0.004654,0.004654
29,16559.8,1.12833,1.51054,0.01338,0.74091,0.61489,0.67495,0.52319,0.96432,1.37966,0.01842,0.004456,0.004456,0.004456
