epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,765.788,2.06447,3.58196,2.34361,0.10676,0.14249,0.04312,0.02088,1.88038,4.0969,2.61012,0.00332817,0.00332817,0.0700464
2,1525.62,1.53896,2.84233,1.88492,0.22943,0.2456,0.14262,0.08572,1.48144,3.422,1.99956,0.00652961,0.00652961,0.0399145
3,2277.65,1.42281,2.57715,1.78836,0.27167,0.2577,0.18673,0.12062,1.31083,2.93328,1.80335,0.00959904,0.00959904,0.00965064
4,3029.18,1.35248,2.4094,1.72235,0.36714,0.34319,0.29717,0.1998,1.23844,2.69116,1.75016,0.009406,0.009406,0.009406
5,3780.92,1.29327,2.23542,1.66434,0.4201,0.40571,0.37615,0.25677,1.14171,2.13496,1.61904,0.009208,0.009208,0.009208
6,4532.38,1.25415,2.08745,1.61911,0.4929,0.43469,0.43666,0.30225,1.10994,1.9841,1.58935,0.00901,0.00901,0.00901
7,5283.71,1.21571,1.97694,1.5904,0.51579,0.48158,0.46804,0.33259,1.10232,1.92529,1.57931,0.008812,0.008812,0.008812
8,6035.26,1.18723,1.89822,1.56377,0.57365,0.46102,0.49081,0.3606,1.04119,1.79749,1.5155,0.008614,0.008614,0.008614
9,6786.84,1.16534,1.82103,1.53813,0.61415,0.5252,0.55216,0.40629,0.99752,1.66527,1.45516,0.008416,0.008416,0.008416
10,7538.37,1.14285,1.7498,1.51592,0.57771,0.52803,0.53338,0.39414,0.98195,1.66719,1.4571,0.008218,0.008218,0.008218
11,8289.48,1.12425,1.68973,1.50507,0.61056,0.5335,0.5585,0.42102,0.98456,1.61654,1.4501,0.00802,0.00802,0.00802
12,9039.92,1.11431,1.64471,1.48995,0.66528,0.54555,0.58309,0.44217,0.94553,1.53475,1.41074,0.007822,0.007822,0.007822
13,9790.32,1.09718,1.59059,1.47012,0.64999,0.56092,0.60136,0.46103,0.93128,1.45685,1.39236,0.007624,0.007624,0.007624
14,10541.3,1.08763,1.55331,1.46172,0.66705,0.5702,0.62072,0.47905,0.92078,1.40311,1.38432,0.007426,0.007426,0.007426
15,11291.7,1.06639,1.50702,1.44294,0.70652,0.57611,0.63169,0.48682,0.89851,1.36762,1.36071,0.007228,0.007228,0.007228
16,12042.8,1.06007,1.48391,1.44011,0.69895,0.59447,0.63751,0.49735,0.89485,1.34737,1.35125,0.00703,0.00703,0.00703
17,12793,1.05261,1.45212,1.43213,0.69575,0.59228,0.63563,0.49332,0.8952,1.32948,1.35793,0.006832,0.006832,0.006832
18,13543,1.03017,1.40777,1.41264,0.68232,0.5997,0.64505,0.5041,0.87709,1.3197,1.33828,0.006634,0.006634,0.006634
19,14293.4,1.02521,1.39667,1.4102,0.7233,0.61001,0.65924,0.5176,0.86196,1.25749,1.32361,0.006436,0.006436,0.006436
20,15044,1.01149,1.35536,1.39898,0.70216,0.61732,0.66122,0.51571,0.8708,1.25225,1.32305,0.006238,0.006238,0.006238
21,15794.9,1.01232,1.34263,1.39625,0.71383,0.61891,0.66636,0.52595,0.8613,1.22755,1.31909,0.00604,0.00604,0.00604
22,16545.2,0.99841,1.31911,1.38577,0.69477,0.63286,0.67147,0.53189,0.86227,1.21105,1.31674,0.005842,0.005842,0.005842
23,17295,0.9871,1.28787,1.3755,0.71818,0.61419,0.66792,0.53245,0.85458,1.21633,1.30368,0.005644,0.005644,0.005644
24,18045.8,0.97992,1.27198,1.37636,0.73707,0.61836,0.6787,0.53916,0.84309,1.19038,1.29134,0.005446,0.005446,0.005446
25,18796.6,0.96969,1.24344,1.35848,0.73089,0.62774,0.67778,0.53964,0.8315,1.18224,1.27848,0.005248,0.005248,0.005248
26,19547,0.96197,1.22368,1.35182,0.72872,0.63314,0.67898,0.54352,0.8324,1.18134,1.28132,0.00505,0.00505,0.00505
27,20298.5,0.95422,1.20788,1.34813,0.71593,0.63996,0.68025,0.54458,0.83167,1.17218,1.28114,0.004852,0.004852,0.004852
28,21049.1,0.94193,1.17644,1.33888,0.74742,0.63093,0.68746,0.5504,0.82357,1.15431,1.27384,0.004654,0.004654,0.004654
29,21799.9,0.93561,1.16101,1.3321,0.73088,0.6416,0.68465,0.54869,0.82548,1.15276,1.27343,0.004456,0.004456,0.004456
30,22550.4,0.93087,1.1557,1.32877,0.74795,0.64349,0.69086,0.55283,0.82069,1.13997,1.27177,0.004258,0.004258,0.004258
31,23300.9,0.92071,1.1357,1.32388,0.74646,0.65108,0.69525,0.55603,0.81716,1.12806,1.26607,0.00406,0.00406,0.00406
32,24052.5,0.92037,1.11833,1.31772,0.74019,0.64757,0.69456,0.55883,0.81091,1.12268,1.26165,0.003862,0.003862,0.003862
33,24803.5,0.91126,1.10041,1.31303,0.73685,0.64483,0.69454,0.55864,0.81094,1.12047,1.26209,0.003664,0.003664,0.003664
34,25554.3,0.90171,1.08553,1.30436,0.76636,0.62855,0.69348,0.55924,0.80816,1.11922,1.25986,0.003466,0.003466,0.003466
35,26305,0.90109,1.0726,1.30424,0.76885,0.62774,0.69708,0.56104,0.81131,1.11187,1.26098,0.003268,0.003268,0.003268
36,27056.7,0.89644,1.07114,1.30171,0.75934,0.64179,0.69668,0.5629,0.8121,1.11716,1.26092,0.00307,0.00307,0.00307
37,27808.7,0.88762,1.05021,1.29117,0.74228,0.65425,0.69684,0.56305,0.81077,1.11323,1.25708,0.002872,0.002872,0.002872
38,28560.5,0.88424,1.03533,1.28925,0.72622,0.66825,0.6986,0.56269,0.81043,1.11406,1.25958,0.002674,0.002674,0.002674
39,29312.6,0.87168,1.01514,1.27906,0.7375,0.65477,0.69654,0.56295,0.81135,1.11294,1.25973,0.002476,0.002476,0.002476
40,30064,0.86619,1.01118,1.27828,0.74774,0.65278,0.69849,0.56486,0.81196,1.10777,1.25881,0.002278,0.002278,0.002278
41,30813.4,0.80033,0.86299,1.24388,0.74971,0.65252,0.70024,0.56535,0.81099,1.10259,1.25996,0.00208,0.00208,0.00208
42,31561.8,0.78572,0.83734,1.23139,0.76251,0.64428,0.70053,0.56657,0.80906,1.0952,1.2585,0.001882,0.001882,0.001882
43,32309.8,0.78604,0.82984,1.22928,0.75826,0.65306,0.7031,0.56871,0.80672,1.08625,1.25705,0.001684,0.001684,0.001684
44,33057.7,0.77124,0.80709,1.21312,0.76805,0.642,0.70397,0.57061,0.80674,1.08284,1.25789,0.001486,0.001486,0.001486
45,33807,0.76323,0.79167,1.21037,0.7706,0.64241,0.70484,0.57036,0.80652,1.08015,1.25791,0.001288,0.001288,0.001288
46,34564.1,0.7643,0.78366,1.20733,0.75926,0.64916,0.70475,0.57027,0.80787,1.08041,1.2594,0.00109,0.00109,0.00109
