epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,265.974,2.22592,4.35443,0.03249,0.11542,0.12749,0.044,0.01773,2.2261,5.01754,0.0518,0.00332301,0.00332301,0.0700929
2,532.105,1.81886,3.4139,0.02428,0.10464,0.19492,0.06056,0.02715,2.11502,4.76934,0.04884,0.00659045,0.00659045,0.040027
3,797.75,1.69994,3.09556,0.02167,0.14979,0.18502,0.09028,0.04333,1.96538,4.47691,0.04388,0.00979188,0.00979188,0.00989508
4,1063.23,1.59589,2.84825,0.02028,0.3873,0.19469,0.15962,0.08764,1.67075,3.67849,0.03731,0.009703,0.009703,0.009703
5,1328.8,1.53172,2.67438,0.01928,0.34691,0.28042,0.24019,0.1443,1.49593,2.91623,0.03164,0.009604,0.009604,0.009604
6,1595.02,1.48953,2.54518,0.0183,0.34996,0.33564,0.28207,0.1783,1.44449,2.60173,0.03021,0.009505,0.009505,0.009505
7,1860.9,1.45788,2.4543,0.0182,0.41644,0.37101,0.34757,0.2219,1.43266,2.53569,0.03037,0.009406,0.009406,0.009406
8,2126.79,1.43321,2.36813,0.01773,0.46477,0.41106,0.38136,0.25372,1.37946,2.3345,0.02842,0.009307,0.009307,0.009307
9,2391.83,1.40657,2.28212,0.01728,0.48285,0.42164,0.4001,0.26981,1.31912,2.30623,0.02676,0.009208,0.009208,0.009208
10,2657.36,1.40888,2.23684,0.017,0.55258,0.461,0.47018,0.32103,1.29323,2.12668,0.02593,0.009109,0.009109,0.009109
11,2922.74,1.39157,2.18263,0.01684,0.55255,0.46076,0.47474,0.32874,1.27488,2.10149,0.02587,0.00901,0.00901,0.00901
12,3188.08,1.36836,2.12505,0.01658,0.57876,0.49911,0.50892,0.36254,1.23557,1.95894,0.02438,0.008911,0.008911,0.008911
13,3454.43,1.35589,2.07915,0.01638,0.59225,0.4822,0.50335,0.36019,1.21121,1.94505,0.02365,0.008812,0.008812,0.008812
14,3720.08,1.34221,2.04322,0.01621,0.64173,0.49109,0.53079,0.38105,1.18547,1.90266,0.02315,0.008713,0.008713,0.008713
15,3985.91,1.33671,2.00833,0.01588,0.62519,0.50854,0.54576,0.3871,1.22072,1.83134,0.02393,0.008614,0.008614,0.008614
16,4251.86,1.32393,1.96475,0.01587,0.64727,0.51783,0.57258,0.41905,1.17316,1.75894,0.02275,0.008515,0.008515,0.008515
17,4517.55,1.3229,1.95073,0.01574,0.63486,0.53863,0.57755,0.42357,1.17537,1.72647,0.02273,0.008416,0.008416,0.008416
18,4783.09,1.29598,1.88515,0.0156,0.68673,0.52336,0.59415,0.43165,1.16705,1.68673,0.02251,0.008317,0.008317,0.008317
19,5049.2,1.30085,1.88432,0.01548,0.68456,0.55191,0.60699,0.44998,1.13946,1.63812,0.02172,0.008218,0.008218,0.008218
20,5315.17,1.28697,1.83638,0.01534,0.66371,0.57247,0.61591,0.45657,1.14488,1.62739,0.02198,0.008119,0.008119,0.008119
21,5581.16,1.28743,1.84938,0.01523,0.72653,0.56742,0.62871,0.47152,1.12276,1.59131,0.02129,0.00802,0.00802,0.00802
22,5846.81,1.28264,1.81311,0.01543,0.69409,0.60815,0.63611,0.47327,1.12633,1.56466,0.0216,0.007921,0.007921,0.007921
23,6112.16,1.25804,1.77731,0.01493,0.67451,0.61891,0.64809,0.48712,1.0921,1.52867,0.02051,0.007822,0.007822,0.007822
24,6377.61,1.25413,1.762,0.01505,0.69147,0.59712,0.64903,0.49139,1.08675,1.51403,0.02028,0.007723,0.007723,0.007723
25,6643.24,1.25594,1.74389,0.01465,0.71741,0.59608,0.65455,0.49991,1.07418,1.49574,0.02007,0.007624,0.007624,0.007624
26,6908.95,1.25291,1.71402,0.01478,0.73948,0.59217,0.65549,0.50346,1.06957,1.46423,0.01978,0.007525,0.007525,0.007525
27,7174.91,1.24336,1.69169,0.01467,0.72311,0.6078,0.66167,0.50732,1.05546,1.45619,0.01953,0.007426,0.007426,0.007426
28,7440.85,1.23415,1.66171,0.01466,0.72001,0.61885,0.66945,0.51697,1.04465,1.42941,0.01936,0.007327,0.007327,0.007327
29,7706.98,1.235,1.64589,0.01448,0.75023,0.61574,0.68041,0.52165,1.05409,1.42426,0.01963,0.007228,0.007228,0.007228
30,7972.99,1.22307,1.65126,0.01432,0.75075,0.61442,0.67128,0.51742,1.04255,1.43185,0.01923,0.007129,0.007129,0.007129
31,8239.17,1.22239,1.62802,0.01439,0.71812,0.63479,0.6756,0.52518,1.02987,1.41285,0.01897,0.00703,0.00703,0.00703
32,8505.82,1.22188,1.591,0.01393,0.73477,0.62959,0.68426,0.53087,1.03954,1.37213,0.01912,0.006931,0.006931,0.006931
33,8771.7,1.20613,1.58843,0.01411,0.72937,0.62869,0.68752,0.53783,1.01821,1.38708,0.01875,0.006832,0.006832,0.006832
34,9036.84,1.19607,1.56463,0.01393,0.72278,0.63446,0.68222,0.53399,1.01945,1.38731,0.01862,0.006733,0.006733,0.006733
35,9301.98,1.20001,1.56511,0.01392,0.75241,0.63424,0.69054,0.54102,1.01683,1.36611,0.01852,0.006634,0.006634,0.006634
36,9567.4,1.20195,1.56071,0.01386,0.74177,0.63725,0.6887,0.53951,1.00872,1.36681,0.01849,0.006535,0.006535,0.006535
37,9833.07,1.19996,1.5456,0.01393,0.75992,0.6396,0.69253,0.54091,1.01084,1.36202,0.01848,0.006436,0.006436,0.006436
38,10098.5,1.19049,1.52747,0.0139,0.74726,0.64054,0.69655,0.54456,1.00763,1.35921,0.01847,0.006337,0.006337,0.006337
39,10363.5,1.1898,1.51628,0.01382,0.77095,0.64056,0.69612,0.54482,1.00366,1.35487,0.01838,0.006238,0.006238,0.006238
40,10628.8,1.18801,1.50939,0.01379,0.76772,0.63628,0.69735,0.5465,0.99959,1.35729,0.01823,0.006139,0.006139,0.006139
41,10894.5,1.1768,1.50076,0.01366,0.77116,0.63953,0.70218,0.55066,0.9935,1.36434,0.01816,0.00604,0.00604,0.00604
42,11160.4,1.17763,1.47343,0.01365,0.76184,0.63454,0.70004,0.54949,0.99808,1.35085,0.01833,0.005941,0.005941,0.005941
43,11426.2,1.17304,1.46718,0.01337,0.7472,0.65305,0.70022,0.55164,0.99056,1.35266,0.01811,0.005842,0.005842,0.005842
44,11691.5,1.15861,1.43401,0.01323,0.75143,0.65261,0.70319,0.55625,0.98842,1.3432,0.01798,0.005743,0.005743,0.005743
45,11957.2,1.15261,1.42365,0.01316,0.77565,0.64592,0.70533,0.55781,0.97965,1.34873,0.01777,0.005644,0.005644,0.005644
