epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,255.418,2.02919,4.38313,2.15139,0.078,0.0979,0.02945,0.01536,1.84747,5.04089,2.2087,0.00332301,0.00332301,0.0700929
2,514.278,1.62801,3.41521,1.73354,0.06979,0.12301,0.0433,0.02244,1.76492,5.09598,2.14148,0.00659045,0.00659045,0.040027
3,771.496,1.55921,3.1234,1.66482,0.14143,0.20074,0.08291,0.04545,1.68038,4.14831,1.9673,0.00979188,0.00979188,0.00989508
4,1029.35,1.47434,2.87322,1.59669,0.31038,0.2748,0.20179,0.12555,1.38473,3.30257,1.71232,0.009703,0.009703,0.009703
5,1288.18,1.42034,2.69393,1.55859,0.28915,0.29388,0.22162,0.1418,1.35604,3.25871,1.70887,0.009604,0.009604,0.009604
6,1546.42,1.38659,2.56024,1.52413,0.43467,0.35048,0.32145,0.21696,1.29694,2.58919,1.64279,0.009505,0.009505,0.009505
7,1804.92,1.35347,2.465,1.51266,0.41542,0.39892,0.35816,0.24358,1.27543,2.45218,1.60884,0.009406,0.009406,0.009406
8,2063.43,1.33042,2.38246,1.49105,0.43169,0.40493,0.37129,0.25663,1.26214,2.4724,1.58173,0.009307,0.009307,0.009307
9,2322.38,1.29893,2.2998,1.46947,0.44753,0.42882,0.40817,0.28152,1.20093,2.32594,1.55914,0.009208,0.009208,0.009208
10,2580.69,1.30864,2.25737,1.46714,0.53598,0.44678,0.45127,0.32142,1.16304,2.15229,1.50799,0.009109,0.009109,0.009109
11,2839.29,1.29136,2.19162,1.44937,0.54211,0.43784,0.45422,0.32264,1.15622,2.21202,1.49388,0.00901,0.00901,0.00901
12,3098.64,1.27501,2.14557,1.44602,0.55907,0.47574,0.4975,0.3589,1.15707,2.01417,1.50572,0.008911,0.008911,0.008911
13,3357.32,1.25989,2.09088,1.42776,0.58355,0.49277,0.51205,0.373,1.13399,1.98706,1.47743,0.008812,0.008812,0.008812
14,3615.7,1.2455,2.0608,1.42337,0.56596,0.51614,0.51215,0.37407,1.12607,1.90791,1.46914,0.008713,0.008713,0.008713
15,3873.83,1.24005,2.03278,1.41556,0.62876,0.49262,0.53193,0.38888,1.10746,1.90165,1.46418,0.008614,0.008614,0.008614
16,4132.44,1.22767,1.98293,1.40984,0.60605,0.54664,0.56232,0.40943,1.11198,1.85006,1.45489,0.008515,0.008515,0.008515
17,4392.18,1.22857,1.97497,1.40714,0.61665,0.54623,0.56223,0.41463,1.10911,1.76274,1.43549,0.008416,0.008416,0.008416
18,4651.72,1.20243,1.91326,1.39187,0.61307,0.55022,0.57862,0.42793,1.08605,1.79486,1.42522,0.008317,0.008317,0.008317
19,4910.59,1.20801,1.91937,1.39281,0.64835,0.55879,0.59661,0.44474,1.08021,1.68784,1.42091,0.008218,0.008218,0.008218
20,5170.23,1.19867,1.86908,1.38643,0.70077,0.5413,0.60226,0.45197,1.07111,1.67629,1.40268,0.008119,0.008119,0.008119
21,5429.04,1.19947,1.86781,1.38459,0.6839,0.55154,0.60368,0.45864,1.054,1.68237,1.40494,0.00802,0.00802,0.00802
22,5687.9,1.19179,1.84013,1.37886,0.65435,0.58457,0.61966,0.47183,1.03636,1.64978,1.38558,0.007921,0.007921,0.007921
23,5946.9,1.1707,1.79833,1.3689,0.6956,0.57092,0.62756,0.4768,1.03056,1.63034,1.37527,0.007822,0.007822,0.007822
24,6206.71,1.16377,1.7952,1.36883,0.66925,0.58044,0.62317,0.47601,1.02902,1.59486,1.37192,0.007723,0.007723,0.007723
25,6465.75,1.16651,1.7757,1.36143,0.67776,0.59528,0.63473,0.48619,1.0226,1.58187,1.37489,0.007624,0.007624,0.007624
26,6725.21,1.16468,1.744,1.35885,0.70187,0.58866,0.64219,0.49364,1.02236,1.56177,1.37688,0.007525,0.007525,0.007525
27,6984.01,1.15519,1.72491,1.35916,0.69558,0.58333,0.63882,0.48831,1.01863,1.56484,1.36446,0.007426,0.007426,0.007426
28,7243.66,1.14997,1.70208,1.35167,0.68858,0.60317,0.64177,0.49718,1.01174,1.5286,1.36073,0.007327,0.007327,0.007327
29,7502.99,1.14849,1.69062,1.34778,0.73657,0.58485,0.65743,0.50459,1.0076,1.52018,1.35978,0.007228,0.007228,0.007228
30,7762.17,1.14203,1.68661,1.34421,0.72468,0.60824,0.65863,0.50656,1.00683,1.5185,1.35889,0.007129,0.007129,0.007129
31,8021.05,1.13854,1.66326,1.34279,0.70491,0.6171,0.6583,0.50718,0.99246,1.51455,1.34651,0.00703,0.00703,0.00703
32,8279.57,1.13693,1.64966,1.33294,0.69806,0.62349,0.66508,0.5167,0.9881,1.49755,1.33575,0.006931,0.006931,0.006931
33,8538.52,1.12648,1.62869,1.33501,0.71517,0.6206,0.6616,0.51465,0.98109,1.49401,1.33831,0.006832,0.006832,0.006832
34,8797.93,1.11939,1.62265,1.32917,0.72366,0.60723,0.66401,0.51817,0.97379,1.48762,1.32925,0.006733,0.006733,0.006733
35,9057.32,1.1225,1.60292,1.32769,0.74817,0.59488,0.67182,0.52768,0.96952,1.47391,1.32208,0.006634,0.006634,0.006634
36,9316.51,1.12006,1.61102,1.32524,0.73289,0.60775,0.67406,0.53013,0.97422,1.45364,1.32581,0.006535,0.006535,0.006535
37,9575.56,1.12232,1.59982,1.32685,0.73397,0.61336,0.67404,0.53031,0.97501,1.44844,1.32698,0.006436,0.006436,0.006436
38,9835.83,1.10775,1.57776,1.32256,0.72133,0.62561,0.67666,0.53202,0.9728,1.44713,1.33106,0.006337,0.006337,0.006337
39,10095.6,1.10927,1.56968,1.32039,0.73395,0.62582,0.6767,0.53089,0.97361,1.45125,1.33201,0.006238,0.006238,0.006238
