epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,239.56,2.25399,3.94265,2.53168,0.04957,0.2004,0.0402,0.02039,1.93626,4.5744,2.60377,0.00332301,0.00332301,0.0700929
2,477.618,1.63848,3.11948,1.97458,0.11722,0.14034,0.04682,0.02344,1.95132,4.48679,2.77132,0.00659045,0.00659045,0.040027
3,716.709,1.5214,2.83971,1.84902,0.14411,0.22316,0.11429,0.06597,1.59444,4.49283,2.1372,0.00979188,0.00979188,0.00989508
4,956.458,1.43476,2.61596,1.76275,0.20744,0.29991,0.1847,0.11351,1.4766,3.54953,1.97362,0.009703,0.009703,0.009703
5,1196.8,1.36308,2.43984,1.70179,0.28835,0.32789,0.2259,0.14493,1.29527,2.83699,1.8005,0.009604,0.009604,0.009604
6,1436.94,1.32268,2.30756,1.65818,0.38544,0.36373,0.31481,0.21041,1.26121,2.47835,1.70912,0.009505,0.009505,0.009505
7,1676.14,1.2836,2.21838,1.62771,0.35291,0.36125,0.30796,0.19933,1.26557,2.60214,1.7328,0.009406,0.009406,0.009406
8,1915.68,1.25513,2.13172,1.60037,0.47348,0.40602,0.39876,0.27383,1.21884,2.23979,1.6648,0.009307,0.009307,0.009307
9,2155.91,1.23107,2.0504,1.57087,0.4371,0.41593,0.38334,0.26603,1.16558,2.11726,1.60697,0.009208,0.009208,0.009208
10,2395.11,1.2258,2.00721,1.56009,0.44687,0.44076,0.42257,0.2978,1.15376,2.0828,1.60786,0.009109,0.009109,0.009109
11,2633.94,1.21073,1.94731,1.54266,0.52559,0.47121,0.4755,0.33896,1.11507,1.99828,1.57041,0.00901,0.00901,0.00901
12,2873.92,1.19327,1.89462,1.53164,0.55839,0.46142,0.47111,0.33534,1.12895,1.9596,1.55529,0.008911,0.008911,0.008911
13,3113.02,1.17882,1.84906,1.51661,0.59717,0.46343,0.50384,0.36313,1.09997,1.85714,1.52707,0.008812,0.008812,0.008812
14,3353.07,1.16929,1.82082,1.50661,0.61988,0.47875,0.5259,0.382,1.07691,1.79677,1.51094,0.008713,0.008713,0.008713
15,3592.34,1.16085,1.78931,1.49181,0.60077,0.48522,0.52613,0.38168,1.08049,1.75428,1.51386,0.008614,0.008614,0.008614
16,3831,1.14608,1.74207,1.48294,0.61693,0.51805,0.5458,0.40279,1.03598,1.68769,1.47927,0.008515,0.008515,0.008515
17,4069.98,1.14168,1.72563,1.47757,0.60184,0.52386,0.55002,0.40335,1.06796,1.64619,1.48551,0.008416,0.008416,0.008416
18,4308.63,1.1211,1.67989,1.45955,0.62649,0.51568,0.56233,0.41392,1.03433,1.6486,1.47256,0.008317,0.008317,0.008317
19,4548.17,1.12734,1.67631,1.46201,0.63851,0.56946,0.59841,0.44865,1.00064,1.52422,1.43992,0.008218,0.008218,0.008218
20,4787.58,1.11821,1.63132,1.45697,0.64438,0.56694,0.59426,0.44422,1.01494,1.53027,1.44635,0.008119,0.008119,0.008119
21,5027.14,1.11623,1.63636,1.45187,0.63192,0.56837,0.60351,0.45665,0.99266,1.52739,1.42425,0.00802,0.00802,0.00802
22,5265.69,1.10592,1.60872,1.44629,0.6729,0.57536,0.62147,0.46475,0.98965,1.47776,1.41706,0.007921,0.007921,0.007921
23,5505.05,1.08787,1.56944,1.42963,0.68767,0.56125,0.62241,0.47146,0.97378,1.46803,1.39963,0.007822,0.007822,0.007822
24,5743.96,1.08384,1.56309,1.42851,0.68439,0.57581,0.62218,0.4712,0.97645,1.43995,1.39487,0.007723,0.007723,0.007723
25,5983.11,1.08673,1.53402,1.42276,0.67374,0.58912,0.62752,0.47682,0.97683,1.41691,1.39994,0.007624,0.007624,0.007624
26,6222.19,1.07737,1.5187,1.4161,0.64975,0.59394,0.62373,0.47694,0.95661,1.41321,1.38725,0.007525,0.007525,0.007525
27,6461.21,1.07373,1.49253,1.41478,0.6733,0.59703,0.63506,0.4881,0.95614,1.38005,1.38472,0.007426,0.007426,0.007426
28,6701.14,1.06517,1.47405,1.40808,0.68062,0.58816,0.63634,0.48735,0.94675,1.37571,1.37473,0.007327,0.007327,0.007327
29,6940.7,1.05899,1.4617,1.39848,0.67481,0.61764,0.64566,0.49805,0.93866,1.35055,1.36611,0.007228,0.007228,0.007228
30,7179.24,1.05327,1.46582,1.39439,0.70642,0.60837,0.64946,0.49935,0.94689,1.33527,1.37363,0.007129,0.007129,0.007129
31,7418.28,1.05181,1.44191,1.39417,0.71941,0.58893,0.65175,0.50356,0.93613,1.33826,1.36147,0.00703,0.00703,0.00703
32,7657.48,1.04442,1.41954,1.38113,0.70463,0.60805,0.65708,0.50515,0.93585,1.31932,1.35549,0.006931,0.006931,0.006931
33,7896.39,1.03586,1.40464,1.38225,0.69798,0.62218,0.65895,0.51275,0.92176,1.308,1.34784,0.006832,0.006832,0.006832
34,8136.5,1.03194,1.3907,1.37679,0.70065,0.61017,0.65784,0.5122,0.92005,1.30268,1.34849,0.006733,0.006733,0.006733
35,8375.5,1.03059,1.37889,1.37575,0.7391,0.59372,0.66155,0.51531,0.9177,1.29135,1.34325,0.006634,0.006634,0.006634
36,8615.52,1.02877,1.37626,1.37117,0.7201,0.61047,0.66973,0.52087,0.91557,1.28394,1.33863,0.006535,0.006535,0.006535
37,8855.67,1.02775,1.36911,1.3707,0.68599,0.64138,0.67145,0.52457,0.91464,1.27696,1.33849,0.006436,0.006436,0.006436
38,9095.62,1.02133,1.35512,1.3661,0.71254,0.62724,0.67498,0.52616,0.91209,1.27474,1.33775,0.006337,0.006337,0.006337
39,9335.41,1.019,1.34915,1.36421,0.72128,0.62781,0.67331,0.52727,0.90482,1.2657,1.33099,0.006238,0.006238,0.006238
40,9574.61,1.01502,1.33654,1.36395,0.7087,0.62857,0.67247,0.5271,0.90397,1.26388,1.33103,0.006139,0.006139,0.006139
41,9814.26,1.00989,1.33006,1.35773,0.719,0.62721,0.6756,0.52985,0.89967,1.25864,1.32557,0.00604,0.00604,0.00604
42,10053.9,1.00477,1.30462,1.3503,0.72109,0.63404,0.67732,0.53107,0.90289,1.25986,1.32756,0.005941,0.005941,0.005941
43,10293.5,1.00638,1.30124,1.3514,0.75347,0.61467,0.67749,0.531,0.90457,1.25783,1.32795,0.005842,0.005842,0.005842
44,10532.7,0.99729,1.28126,1.34118,0.74757,0.61412,0.67777,0.5309,0.90345,1.25204,1.32703,0.005743,0.005743,0.005743
45,10772.4,0.98552,1.26842,1.33505,0.74254,0.62001,0.67918,0.53314,0.90373,1.24916,1.32807,0.005644,0.005644,0.005644
46,11011.9,0.99907,1.28123,1.34564,0.74595,0.62088,0.67942,0.53346,0.90129,1.24646,1.32565,0.005545,0.005545,0.005545
47,11251.5,0.98497,1.25515,1.33702,0.7385,0.62107,0.682,0.53543,0.90075,1.24029,1.32264,0.005446,0.005446,0.005446
48,11491.6,0.98509,1.25165,1.33339,0.74108,0.626,0.68264,0.53564,0.89854,1.2386,1.32009,0.005347,0.005347,0.005347
49,11731,0.98129,1.23632,1.33043,0.74959,0.6196,0.6833,0.53693,0.89785,1.23769,1.31933,0.005248,0.005248,0.005248
50,11970.5,0.97715,1.2329,1.32761,0.74656,0.62032,0.68419,0.53866,0.8983,1.23397,1.31912,0.005149,0.005149,0.005149
51,12210.6,0.9724,1.21954,1.32485,0.74877,0.61859,0.6851,0.53882,0.89763,1.23081,1.31823,0.00505,0.00505,0.00505
52,12450.5,0.97088,1.21265,1.32173,0.74295,0.61981,0.68559,0.54045,0.89598,1.22698,1.31738,0.004951,0.004951,0.004951
53,12690.6,0.97268,1.21179,1.32546,0.70784,0.64413,0.68574,0.54103,0.89597,1.22521,1.31635,0.004852,0.004852,0.004852
54,12930.2,0.96143,1.19978,1.31451,0.71864,0.63938,0.68525,0.54016,0.89411,1.22364,1.31439,0.004753,0.004753,0.004753
55,13169.2,0.96825,1.20355,1.31955,0.72041,0.64058,0.68599,0.54116,0.89278,1.22117,1.31278,0.004654,0.004654,0.004654
56,13409.1,0.95126,1.18213,1.3121,0.72276,0.64049,0.68688,0.54201,0.89177,1.21905,1.31165,0.004555,0.004555,0.004555
57,13649,0.95732,1.1806,1.3106,0.72085,0.63916,0.6864,0.54205,0.89248,1.2178,1.31252,0.004456,0.004456,0.004456
58,13889.3,0.94725,1.17095,1.30474,0.72427,0.6367,0.68673,0.5431,0.89124,1.21688,1.31107,0.004357,0.004357,0.004357
59,14129.2,0.95529,1.17891,1.31174,0.72338,0.63785,0.6871,0.54332,0.89121,1.21593,1.31021,0.004258,0.004258,0.004258
60,14369.2,0.95032,1.15825,1.30113,0.72314,0.6399,0.68827,0.54354,0.89066,1.21471,1.30938,0.004159,0.004159,0.004159
61,14608.6,0.94758,1.16211,1.30641,0.7268,0.63788,0.68856,0.54387,0.89032,1.21389,1.30872,0.00406,0.00406,0.00406
62,14847.9,0.95086,1.15117,1.30531,0.73281,0.63501,0.68903,0.54448,0.88978,1.21358,1.30817,0.003961,0.003961,0.003961
63,15087.4,0.93726,1.12873,1.29356,0.73498,0.63486,0.68917,0.54468,0.88954,1.212,1.30741,0.003862,0.003862,0.003862
64,15327.5,0.9369,1.13192,1.29724,0.73394,0.63664,0.69004,0.54542,0.8891,1.21064,1.30661,0.003763,0.003763,0.003763
65,15567.2,0.93782,1.12113,1.29262,0.73829,0.63358,0.68988,0.54597,0.88823,1.20822,1.30522,0.003664,0.003664,0.003664
66,15806.6,0.93349,1.11416,1.29143,0.72141,0.644,0.69059,0.5464,0.88817,1.20646,1.30454,0.003565,0.003565,0.003565
67,16046.5,0.92628,1.1107,1.28707,0.71889,0.64297,0.69048,0.54607,0.88811,1.20504,1.30401,0.003466,0.003466,0.003466
68,16286.4,0.93554,1.1097,1.29057,0.73048,0.6366,0.6912,0.5476,0.88802,1.20224,1.30376,0.003367,0.003367,0.003367
69,16526,0.93147,1.10497,1.28754,0.72475,0.64069,0.69188,0.548,0.88774,1.20064,1.30333,0.003268,0.003268,0.003268
70,16765.8,0.92722,1.10697,1.28794,0.71754,0.64295,0.6917,0.54779,0.8871,1.19897,1.30266,0.003169,0.003169,0.003169
71,17005.5,0.91839,1.09565,1.28116,0.72094,0.64251,0.69141,0.54804,0.88665,1.19832,1.30222,0.00307,0.00307,0.00307
72,17245.4,0.91714,1.0952,1.27978,0.72503,0.64088,0.69167,0.54869,0.88577,1.19725,1.30129,0.002971,0.002971,0.002971
