epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,239.168,2.20182,3.81736,2.46728,0.12789,0.15808,0.03706,0.01818,1.96106,4.06011,2.58119,0.00332301,0.00332301,0.0700929
2,476.782,1.62743,3.08637,1.95058,0.12513,0.23013,0.07128,0.03836,1.68156,5.10983,2.24726,0.00659045,0.00659045,0.040027
3,713.506,1.51617,2.81092,1.83094,0.16365,0.20122,0.07831,0.04292,1.65462,5.81892,2.14302,0.00979188,0.00979188,0.00989508
4,949.443,1.42392,2.57557,1.74302,0.3225,0.25202,0.20421,0.12576,1.42433,3.53192,1.92208,0.009703,0.009703,0.009703
5,1186.74,1.3561,2.41445,1.68514,0.34055,0.34547,0.28753,0.18913,1.31011,2.65068,1.78879,0.009604,0.009604,0.009604
6,1425.17,1.31759,2.2799,1.64614,0.37832,0.3529,0.30119,0.19586,1.28891,2.42411,1.77122,0.009505,0.009505,0.009505
7,1662.09,1.28151,2.18917,1.61919,0.47681,0.41407,0.40549,0.27667,1.23304,2.17358,1.69417,0.009406,0.009406,0.009406
8,1899.55,1.25094,2.11452,1.59364,0.46075,0.39817,0.37596,0.25836,1.23512,2.26871,1.68575,0.009307,0.009307,0.009307
9,2136.78,1.22878,2.03733,1.56866,0.49287,0.41858,0.41316,0.27865,1.20674,2.13449,1.64028,0.009208,0.009208,0.009208
10,2374.54,1.22468,1.98235,1.55991,0.46796,0.46968,0.44834,0.31244,1.14446,2.0648,1.58766,0.009109,0.009109,0.009109
11,2611.7,1.20472,1.91867,1.54026,0.53587,0.43946,0.45982,0.32774,1.13278,1.99487,1.58337,0.00901,0.00901,0.00901
12,2850.03,1.19189,1.87109,1.52969,0.5267,0.45496,0.45984,0.3242,1.10693,1.99425,1.5636,0.008911,0.008911,0.008911
13,3086.9,1.17145,1.81873,1.51354,0.56785,0.50795,0.5098,0.36607,1.11359,1.81042,1.55172,0.008812,0.008812,0.008812
14,3323.69,1.15801,1.79261,1.50378,0.58583,0.50542,0.52242,0.3796,1.08374,1.76939,1.53377,0.008713,0.008713,0.008713
15,3560.64,1.15094,1.75349,1.49087,0.59117,0.54252,0.55979,0.408,1.05862,1.68861,1.50339,0.008614,0.008614,0.008614
16,3797.09,1.13891,1.71065,1.48167,0.59665,0.54374,0.55472,0.40621,1.05923,1.67727,1.49988,0.008515,0.008515,0.008515
17,4035.1,1.1304,1.69346,1.47008,0.64214,0.55785,0.58377,0.42941,1.06018,1.58525,1.5013,0.008416,0.008416,0.008416
18,4271.38,1.10911,1.6454,1.45556,0.61499,0.5329,0.56446,0.40951,1.06863,1.64479,1.49711,0.008317,0.008317,0.008317
19,4507.45,1.11459,1.63758,1.45383,0.67127,0.56241,0.60685,0.45076,1.0228,1.49962,1.46238,0.008218,0.008218,0.008218
20,4744.04,1.10548,1.59685,1.44777,0.6862,0.5463,0.60304,0.45125,1.0058,1.49844,1.44441,0.008119,0.008119,0.008119
21,4980.92,1.10287,1.59723,1.44461,0.6801,0.57983,0.61794,0.46714,0.97962,1.47841,1.42331,0.00802,0.00802,0.00802
22,5218.26,1.09152,1.56609,1.43934,0.68615,0.56701,0.62067,0.46384,0.99636,1.46972,1.43343,0.007921,0.007921,0.007921
23,5454.89,1.07429,1.53128,1.42127,0.69878,0.57143,0.62743,0.4732,0.98034,1.44712,1.41504,0.007822,0.007822,0.007822
24,5691.65,1.07248,1.52697,1.42282,0.71046,0.5784,0.6327,0.4747,0.98713,1.40728,1.41916,0.007723,0.007723,0.007723
25,5929.04,1.06982,1.49875,1.4113,0.67264,0.6007,0.63113,0.47984,0.98731,1.40562,1.41296,0.007624,0.007624,0.007624
26,6166.6,1.06316,1.48114,1.4069,0.64943,0.62678,0.63684,0.48829,0.95938,1.39781,1.39014,0.007525,0.007525,0.007525
27,6403.14,1.05943,1.45484,1.40381,0.69659,0.60496,0.64819,0.49493,0.9609,1.37572,1.38578,0.007426,0.007426,0.007426
28,6640.14,1.05062,1.43441,1.39484,0.709,0.60184,0.64883,0.49875,0.95853,1.35627,1.38637,0.007327,0.007327,0.007327
29,6876.95,1.04655,1.42569,1.39173,0.70896,0.61088,0.65115,0.50206,0.9418,1.34615,1.37286,0.007228,0.007228,0.007228
30,7113.68,1.04442,1.42636,1.39073,0.72138,0.60944,0.65874,0.50724,0.94766,1.32295,1.37611,0.007129,0.007129,0.007129
31,7350.75,1.03655,1.40383,1.38472,0.733,0.6042,0.66089,0.51065,0.93584,1.31737,1.36162,0.00703,0.00703,0.00703
32,7587.86,1.03474,1.38355,1.37698,0.70441,0.62317,0.66378,0.51394,0.93506,1.30952,1.36294,0.006931,0.006931,0.006931
33,7824.96,1.02321,1.36883,1.37627,0.72791,0.61964,0.66637,0.51593,0.93347,1.29568,1.36064,0.006832,0.006832,0.006832
34,8061.01,1.02297,1.36009,1.37067,0.727,0.61673,0.66993,0.51909,0.92464,1.28464,1.34872,0.006733,0.006733,0.006733
35,8297.61,1.02224,1.34274,1.37023,0.73356,0.6131,0.67081,0.52065,0.92654,1.27269,1.35332,0.006634,0.006634,0.006634
36,8534.35,1.01953,1.34611,1.36628,0.69869,0.63748,0.67364,0.52405,0.9277,1.26393,1.35101,0.006535,0.006535,0.006535
37,8771.79,1.01503,1.33342,1.36236,0.71619,0.63959,0.6754,0.52571,0.92272,1.26029,1.34673,0.006436,0.006436,0.006436
38,9009.12,1.01374,1.31822,1.36103,0.73588,0.63625,0.67765,0.52765,0.91784,1.25557,1.34461,0.006337,0.006337,0.006337
39,9247.35,1.00983,1.32038,1.35858,0.72679,0.63241,0.6772,0.52793,0.91962,1.25521,1.34524,0.006238,0.006238,0.006238
40,9484.62,1.00717,1.30771,1.35845,0.7273,0.63642,0.67927,0.53269,0.9183,1.24622,1.34407,0.006139,0.006139,0.006139
41,9720.18,1.00533,1.30316,1.35395,0.73953,0.62281,0.68091,0.53158,0.91624,1.23833,1.34333,0.00604,0.00604,0.00604
42,9957.37,0.99356,1.27645,1.34099,0.73355,0.62687,0.68169,0.53305,0.91491,1.23561,1.34005,0.005941,0.005941,0.005941
43,10195.6,0.99676,1.26554,1.34144,0.74915,0.62082,0.68312,0.5347,0.90907,1.23196,1.33488,0.005842,0.005842,0.005842
44,10433.4,0.98521,1.2464,1.33218,0.74864,0.61985,0.68417,0.53604,0.90759,1.23278,1.3322,0.005743,0.005743,0.005743
45,10671.9,0.97748,1.24108,1.32881,0.75113,0.6185,0.68468,0.53651,0.90707,1.23008,1.33176,0.005644,0.005644,0.005644
46,10909.9,0.99288,1.24905,1.34032,0.74126,0.62667,0.6858,0.53775,0.90911,1.22809,1.3316,0.005545,0.005545,0.005545
47,11148.7,0.97668,1.2243,1.32943,0.74255,0.62739,0.68635,0.53847,0.90932,1.22379,1.33121,0.005446,0.005446,0.005446
48,11386.9,0.97975,1.21945,1.32787,0.75388,0.62197,0.68571,0.5385,0.90781,1.22053,1.33034,0.005347,0.005347,0.005347
49,11624.3,0.9748,1.20665,1.32338,0.73542,0.63007,0.68591,0.53936,0.90409,1.21289,1.32609,0.005248,0.005248,0.005248
50,11861.2,0.96813,1.20293,1.32062,0.73763,0.63104,0.68672,0.53991,0.90093,1.20857,1.32266,0.005149,0.005149,0.005149
51,12099.6,0.9633,1.19135,1.31633,0.74631,0.62508,0.68726,0.54078,0.90028,1.20692,1.32253,0.00505,0.00505,0.00505
52,12338,0.96485,1.18258,1.31672,0.74748,0.62382,0.68864,0.54238,0.89908,1.20377,1.32166,0.004951,0.004951,0.004951
53,12575.8,0.96277,1.17917,1.31665,0.74868,0.61921,0.68833,0.54219,0.89818,1.20317,1.32106,0.004852,0.004852,0.004852
54,12812.9,0.95312,1.16858,1.30691,0.7529,0.61806,0.6891,0.54312,0.89871,1.20268,1.32126,0.004753,0.004753,0.004753
