epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,244.926,2.19297,3.82465,2.49238,0.0604,0.18012,0.04148,0.0162,2.20438,4.46237,3.25067,0.00332301,0.00332301,0.0700929
2,490.527,1.61792,3.0699,1.9703,0.07308,0.23169,0.06006,0.03172,1.88904,5.28597,2.38511,0.00659045,0.00659045,0.040027
3,738.035,1.49866,2.78975,1.84042,0.18963,0.22301,0.09759,0.05506,1.59308,5.1812,2.08073,0.00979188,0.00979188,0.00989508
4,986.852,1.41761,2.56865,1.75753,0.31795,0.27162,0.20685,0.12818,1.44991,3.13123,1.95566,0.009703,0.009703,0.009703
5,1235.8,1.35393,2.40633,1.70028,0.34407,0.34528,0.28182,0.18155,1.30829,2.80279,1.78288,0.009604,0.009604,0.009604
6,1482.21,1.31436,2.27769,1.6527,0.27722,0.3478,0.24397,0.15837,1.28408,2.64687,1.75943,0.009505,0.009505,0.009505
7,1727.5,1.27882,2.18212,1.62304,0.39905,0.38663,0.34679,0.229,1.24927,2.41725,1.69502,0.009406,0.009406,0.009406
8,1973.95,1.2507,2.09899,1.59476,0.35765,0.37608,0.30689,0.19961,1.31029,2.49805,1.74731,0.009307,0.009307,0.009307
9,2222.27,1.22749,2.00392,1.56383,0.49141,0.43537,0.43207,0.30507,1.18074,2.10074,1.62022,0.009208,0.009208,0.009208
10,2469.45,1.21987,1.95849,1.55465,0.58477,0.44881,0.47823,0.34391,1.12544,1.94599,1.57588,0.009109,0.009109,0.009109
11,2715.86,1.20042,1.89135,1.53585,0.56824,0.47613,0.48941,0.35306,1.13176,1.9267,1.5696,0.00901,0.00901,0.00901
12,2962.64,1.18608,1.84274,1.52729,0.58161,0.50958,0.51803,0.36812,1.11022,1.87171,1.56207,0.008911,0.008911,0.008911
13,3207.53,1.16767,1.79999,1.50915,0.54167,0.49835,0.4993,0.36695,1.09167,1.85255,1.52754,0.008812,0.008812,0.008812
14,3452.4,1.15877,1.7625,1.50034,0.60279,0.53142,0.54644,0.39954,1.08252,1.68373,1.51312,0.008713,0.008713,0.008713
15,3698.1,1.14998,1.72638,1.48608,0.61531,0.54541,0.56454,0.41458,1.06171,1.69137,1.49406,0.008614,0.008614,0.008614
16,3943.17,1.13604,1.68142,1.47467,0.64627,0.54466,0.57326,0.42762,1.04239,1.59726,1.48946,0.008515,0.008515,0.008515
17,4188.69,1.13151,1.6691,1.46847,0.63282,0.53469,0.57256,0.42839,1.02228,1.59035,1.45974,0.008416,0.008416,0.008416
18,4433.88,1.10941,1.62193,1.45214,0.65205,0.52274,0.58212,0.43144,1.02897,1.58488,1.45837,0.008317,0.008317,0.008317
19,4678.6,1.11522,1.61936,1.45499,0.67347,0.57066,0.614,0.46218,1.02034,1.47211,1.45169,0.008218,0.008218,0.008218
20,4924.44,1.1066,1.57775,1.448,0.70971,0.55259,0.61777,0.46611,1.01342,1.46208,1.44201,0.008119,0.008119,0.008119
21,5169.6,1.10482,1.57318,1.44458,0.66535,0.59613,0.62985,0.48065,0.97529,1.43718,1.41014,0.00802,0.00802,0.00802
22,5414.29,1.09428,1.55055,1.43913,0.68073,0.59816,0.63116,0.4757,1.00685,1.42129,1.4354,0.007921,0.007921,0.007921
23,5658.9,1.07504,1.51333,1.4189,0.6889,0.58706,0.63587,0.48319,0.97609,1.41051,1.40941,0.007822,0.007822,0.007822
24,5903.98,1.07527,1.50694,1.42271,0.69004,0.59231,0.63961,0.48919,0.98064,1.39695,1.40852,0.007723,0.007723,0.007723
25,6149.24,1.07299,1.48525,1.41341,0.71175,0.60389,0.65105,0.50145,0.96906,1.37266,1.40301,0.007624,0.007624,0.007624
26,6394.19,1.06757,1.46666,1.41008,0.70179,0.60936,0.65149,0.49942,0.9691,1.35193,1.3986,0.007525,0.007525,0.007525
27,6638.87,1.06163,1.44188,1.40612,0.71947,0.607,0.65667,0.50997,0.94637,1.32598,1.38263,0.007426,0.007426,0.007426
28,6883.28,1.05501,1.4209,1.39799,0.73206,0.60442,0.66771,0.51469,0.94512,1.31772,1.3767,0.007327,0.007327,0.007327
29,7127.71,1.04938,1.41342,1.39344,0.70894,0.62544,0.66563,0.51523,0.94953,1.30004,1.38107,0.007228,0.007228,0.007228
30,7373.31,1.0464,1.41459,1.39053,0.75297,0.60558,0.66837,0.51809,0.94901,1.29795,1.38321,0.007129,0.007129,0.007129
31,7618.24,1.04018,1.38851,1.38682,0.74059,0.62257,0.67342,0.52504,0.93881,1.26801,1.37248,0.00703,0.00703,0.00703
32,7863.09,1.03937,1.36973,1.37671,0.75666,0.59969,0.66892,0.52296,0.92603,1.27189,1.36185,0.006931,0.006931,0.006931
33,8108.03,1.02506,1.35445,1.37438,0.72511,0.62866,0.67194,0.52637,0.92362,1.26211,1.35664,0.006832,0.006832,0.006832
34,8353.31,1.02475,1.34748,1.36876,0.75835,0.62038,0.67651,0.53133,0.92064,1.25605,1.35016,0.006733,0.006733,0.006733
35,8598.45,1.02562,1.33251,1.36912,0.73458,0.62924,0.68051,0.53297,0.91312,1.24952,1.34732,0.006634,0.006634,0.006634
36,8843.45,1.02311,1.33115,1.3648,0.7456,0.63127,0.68162,0.53739,0.91427,1.22913,1.34862,0.006535,0.006535,0.006535
37,9088.98,1.01703,1.32186,1.36099,0.7564,0.63053,0.68293,0.53784,0.91222,1.22499,1.34712,0.006436,0.006436,0.006436
38,9334.72,1.01544,1.306,1.3623,0.76347,0.62385,0.68824,0.54265,0.91033,1.22543,1.34536,0.006337,0.006337,0.006337
39,9580.16,1.01145,1.30886,1.35884,0.75021,0.6273,0.68969,0.54203,0.91332,1.22195,1.34743,0.006238,0.006238,0.006238
40,9825.28,1.00973,1.29339,1.35777,0.76636,0.62351,0.6899,0.54105,0.91108,1.22025,1.34428,0.006139,0.006139,0.006139
41,10071.3,1.00601,1.28567,1.35093,0.77406,0.62302,0.69338,0.54235,0.91164,1.22063,1.34313,0.00604,0.00604,0.00604
42,10316.8,0.99701,1.26441,1.34151,0.76501,0.6321,0.69565,0.54469,0.91424,1.21314,1.34242,0.005941,0.005941,0.005941
43,10562.8,0.99795,1.25669,1.34172,0.75748,0.63423,0.69544,0.54495,0.91252,1.20728,1.34084,0.005842,0.005842,0.005842
44,10809,0.98877,1.23532,1.33299,0.76733,0.63513,0.69573,0.54419,0.91207,1.20196,1.33866,0.005743,0.005743,0.005743
45,11054,0.98158,1.22336,1.32933,0.76593,0.63984,0.69757,0.54509,0.91189,1.20009,1.33656,0.005644,0.005644,0.005644
46,11299.4,0.99408,1.23632,1.33919,0.76222,0.64162,0.6975,0.54579,0.91112,1.19833,1.33496,0.005545,0.005545,0.005545
47,11544.6,0.98046,1.21503,1.33056,0.77957,0.63509,0.69812,0.54641,0.91097,1.19388,1.33455,0.005446,0.005446,0.005446
48,11791.8,0.98172,1.21095,1.32823,0.76767,0.64195,0.69794,0.54647,0.90838,1.19019,1.33215,0.005347,0.005347,0.005347
49,12038,0.97702,1.19709,1.32549,0.77879,0.63564,0.69781,0.54794,0.9076,1.18841,1.33175,0.005248,0.005248,0.005248
50,12284.3,0.97098,1.19222,1.32268,0.78234,0.6355,0.69939,0.54909,0.90912,1.1869,1.33281,0.005149,0.005149,0.005149
51,12530.6,0.9689,1.181,1.31989,0.78976,0.62553,0.70038,0.55004,0.9094,1.18583,1.33311,0.00505,0.00505,0.00505
52,12776.9,0.96842,1.17482,1.31925,0.79062,0.62645,0.70076,0.54942,0.90918,1.18463,1.33254,0.004951,0.004951,0.004951
53,13024.1,0.9665,1.17017,1.31886,0.78308,0.63238,0.70081,0.54947,0.90935,1.18454,1.33276,0.004852,0.004852,0.004852
54,13271,0.95621,1.16362,1.3094,0.7916,0.62142,0.701,0.55063,0.9098,1.18254,1.33355,0.004753,0.004753,0.004753
55,13517.7,0.96221,1.16366,1.31348,0.7906,0.62013,0.70202,0.552,0.90902,1.18026,1.33229,0.004654,0.004654,0.004654
56,13763.7,0.94694,1.14597,1.30872,0.78368,0.63034,0.70194,0.552,0.90899,1.17844,1.33231,0.004555,0.004555,0.004555
57,14009.4,0.95339,1.14511,1.30874,0.78711,0.62577,0.7023,0.55247,0.90915,1.17732,1.33203,0.004456,0.004456,0.004456
58,14256.2,0.94444,1.13146,1.30185,0.78979,0.62524,0.70308,0.5535,0.90818,1.1754,1.33108,0.004357,0.004357,0.004357
59,14503.8,0.95058,1.13921,1.30875,0.79194,0.62413,0.7035,0.55449,0.9076,1.17304,1.33068,0.004258,0.004258,0.004258
60,14750.4,0.94507,1.122,1.29657,0.79361,0.62289,0.70379,0.55536,0.90545,1.17087,1.32891,0.004159,0.004159,0.004159
61,14997.9,0.94417,1.12074,1.30241,0.79151,0.62502,0.70464,0.5563,0.90394,1.1688,1.32741,0.00406,0.00406,0.00406
62,15245.2,0.94621,1.11489,1.29923,0.79114,0.62379,0.70558,0.5565,0.90305,1.16826,1.32676,0.003961,0.003961,0.003961
63,15490.5,0.93251,1.09421,1.28829,0.79138,0.62441,0.70569,0.55689,0.90245,1.16675,1.32616,0.003862,0.003862,0.003862
