epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,257.625,2.24942,3.84783,2.50464,0.0582,0.10154,0.04176,0.02079,1.89911,4.08509,2.72464,0.00332301,0.00332301,0.0700929
2,519.976,1.6418,3.09265,1.95826,0.13867,0.21243,0.07645,0.04394,1.67362,4.69244,2.20937,0.00659045,0.00659045,0.040027
3,781.09,1.51176,2.79259,1.82277,0.13832,0.21146,0.0831,0.0465,1.55401,4.81524,2.05241,0.00979188,0.00979188,0.00989508
4,1041.49,1.41257,2.53754,1.73012,0.31949,0.2844,0.22348,0.13521,1.45512,3.46909,1.95586,0.009703,0.009703,0.009703
5,1302.87,1.34303,2.36973,1.67284,0.34576,0.3509,0.26618,0.16831,1.36833,2.66988,1.87043,0.009604,0.009604,0.009604
6,1564.31,1.30437,2.22867,1.63041,0.4412,0.37286,0.33808,0.22237,1.27646,2.35249,1.73083,0.009505,0.009505,0.009505
7,1825.51,1.2666,2.13589,1.60104,0.42317,0.38732,0.35527,0.24228,1.24378,2.27727,1.69631,0.009406,0.009406,0.009406
8,2085.86,1.23733,2.05001,1.57325,0.46407,0.42312,0.39569,0.26755,1.25145,2.23729,1.67762,0.009307,0.009307,0.009307
9,2346.41,1.21469,1.96725,1.54323,0.4866,0.43976,0.41689,0.28291,1.21493,2.08695,1.65363,0.009208,0.009208,0.009208
10,2606.67,1.20963,1.9248,1.53481,0.52902,0.47509,0.47102,0.33405,1.13364,1.94593,1.58089,0.009109,0.009109,0.009109
11,2867.49,1.18886,1.85622,1.51494,0.51986,0.47725,0.48746,0.35464,1.11083,1.8861,1.53672,0.00901,0.00901,0.00901
12,3128.67,1.17523,1.81203,1.50702,0.57639,0.51882,0.52761,0.37892,1.10991,1.75595,1.53614,0.008911,0.008911,0.008911
13,3390.08,1.15745,1.76477,1.49108,0.54878,0.50119,0.51778,0.37651,1.08176,1.83059,1.50061,0.008812,0.008812,0.008812
14,3651.19,1.14448,1.73039,1.48048,0.65658,0.51308,0.5676,0.41315,1.06013,1.6657,1.48347,0.008713,0.008713,0.008713
15,3912.04,1.13993,1.69468,1.46956,0.6334,0.51782,0.56062,0.41401,1.05759,1.63982,1.48412,0.008614,0.008614,0.008614
16,4172.33,1.12718,1.65581,1.45917,0.65436,0.53382,0.57049,0.42451,1.02959,1.63551,1.45901,0.008515,0.008515,0.008515
17,4433.11,1.12215,1.63857,1.45329,0.67995,0.55904,0.59395,0.43599,1.04482,1.53405,1.46363,0.008416,0.008416,0.008416
