epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,559.055,2.09514,3.58328,2.33994,0.1413,0.15628,0.06678,0.03658,1.75448,3.8282,2.28028,0.00332817,0.00332817,0.0700464
2,1057.73,1.56448,2.89314,1.87708,0.20535,0.25852,0.16002,0.09317,1.49926,3.28184,1.97733,0.00652961,0.00652961,0.0399145
3,1551.96,1.45076,2.61624,1.76668,0.2409,0.35535,0.24033,0.15387,1.34868,2.78456,1.81144,0.00959904,0.00959904,0.00965064
4,2046.43,1.37434,2.41935,1.69451,0.2814,0.35004,0.25085,0.16562,1.29104,2.73644,1.76398,0.009406,0.009406,0.009406
5,2540.17,1.30836,2.26403,1.63372,0.41048,0.40205,0.37036,0.25022,1.22317,2.11081,1.70218,0.009208,0.009208,0.009208
6,3035.02,1.27008,2.12958,1.59018,0.48958,0.44684,0.45176,0.31329,1.16465,1.93561,1.60554,0.00901,0.00901,0.00901
7,3528.69,1.23153,2.03033,1.56328,0.50016,0.46374,0.46598,0.3213,1.14379,1.88504,1.55878,0.008812,0.008812,0.008812
8,4022.44,1.20221,1.94452,1.53684,0.49419,0.47519,0.44831,0.31921,1.10863,1.94329,1.53953,0.008614,0.008614,0.008614
9,4516.16,1.18061,1.86713,1.51078,0.60656,0.50466,0.53836,0.39329,1.0476,1.65292,1.47171,0.008416,0.008416,0.008416
10,5010.3,1.15505,1.79591,1.48777,0.61434,0.51071,0.54968,0.40388,1.02028,1.63078,1.45399,0.008218,0.008218,0.008218
11,5504.37,1.13873,1.74634,1.477,0.6491,0.50162,0.54956,0.40815,1.01773,1.63189,1.46019,0.00802,0.00802,0.00802
12,5998.76,1.12479,1.69317,1.46175,0.64443,0.55961,0.59103,0.44074,0.99231,1.50802,1.41567,0.007822,0.007822,0.007822
13,6493.77,1.10741,1.63948,1.44124,0.66491,0.55856,0.60349,0.45581,0.98422,1.44409,1.40544,0.007624,0.007624,0.007624
14,6989.89,1.09605,1.59672,1.43423,0.68583,0.58428,0.62183,0.46994,0.95967,1.41149,1.37896,0.007426,0.007426,0.007426
15,7486.12,1.07543,1.54797,1.41827,0.72385,0.56522,0.62937,0.47212,0.95125,1.39348,1.36021,0.007228,0.007228,0.007228
16,7981.22,1.07077,1.52764,1.4135,0.70921,0.59389,0.63752,0.48443,0.94263,1.35221,1.36397,0.00703,0.00703,0.00703
17,8477.35,1.06077,1.49023,1.40329,0.69521,0.60941,0.65005,0.50015,0.92042,1.31009,1.3378,0.006832,0.006832,0.006832
18,8973.73,1.04026,1.45135,1.3863,0.72248,0.58773,0.65055,0.50134,0.93749,1.31104,1.35035,0.006634,0.006634,0.006634
19,9469.52,1.03591,1.43396,1.38401,0.71969,0.61415,0.65681,0.51186,0.90548,1.27213,1.32572,0.006436,0.006436,0.006436
20,9965.82,1.0209,1.38416,1.37084,0.71867,0.61313,0.66422,0.51777,0.89898,1.26046,1.31822,0.006238,0.006238,0.006238
21,10461.8,1.0206,1.38014,1.37146,0.74411,0.61054,0.67181,0.52511,0.89126,1.24532,1.30561,0.00604,0.00604,0.00604
22,10957.7,1.00952,1.35891,1.3624,0.71796,0.62221,0.67296,0.52891,0.8833,1.22532,1.30086,0.005842,0.005842,0.005842
