epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,553.401,2.09506,3.57342,2.3513,0.18157,0.17183,0.05564,0.02849,1.81256,5.19481,2.41615,0.00332817,0.00332817,0.0700464
2,1030.48,1.56668,2.88939,1.89127,0.20678,0.29166,0.16291,0.09945,1.41007,3.47607,1.86884,0.00652961,0.00652961,0.0399145
3,1503.33,1.44601,2.62792,1.77846,0.28029,0.3209,0.22304,0.13867,1.39145,2.92549,1.8645,0.00959904,0.00959904,0.00965064
4,1976.07,1.37442,2.43989,1.71172,0.3318,0.38308,0.30295,0.19722,1.26054,2.62888,1.73975,0.009406,0.009406,0.009406
5,2448.64,1.31361,2.28887,1.65852,0.36342,0.38275,0.31946,0.20322,1.29209,2.33058,1.76316,0.009208,0.009208,0.009208
6,2920.8,1.26855,2.138,1.60824,0.49638,0.43681,0.43975,0.30002,1.16235,1.95373,1.62616,0.00901,0.00901,0.00901
7,3392.89,1.23752,2.05164,1.58528,0.59498,0.46475,0.49188,0.34196,1.11973,1.83797,1.56649,0.008812,0.008812,0.008812
8,3865.33,1.20298,1.96885,1.55408,0.53848,0.46185,0.46553,0.32855,1.09654,1.88223,1.54596,0.008614,0.008614,0.008614
9,4338.07,1.18007,1.88699,1.52868,0.62204,0.49847,0.53183,0.38594,1.04902,1.69968,1.48224,0.008416,0.008416,0.008416
10,4810.65,1.1544,1.81758,1.50465,0.60025,0.5199,0.544,0.39047,1.04754,1.68481,1.4792,0.008218,0.008218,0.008218
11,5283.23,1.13822,1.76224,1.4933,0.62839,0.51015,0.54702,0.39287,1.03357,1.63093,1.47316,0.00802,0.00802,0.00802
12,5755.33,1.12615,1.70873,1.47698,0.65644,0.53646,0.59018,0.43325,1.02044,1.53671,1.43475,0.007822,0.007822,0.007822
13,6228.06,1.10761,1.65831,1.45796,0.62609,0.56571,0.5889,0.44397,0.96855,1.47482,1.4029,0.007624,0.007624,0.007624
14,6700.66,1.09455,1.61322,1.45069,0.657,0.57062,0.60713,0.45913,0.95735,1.42627,1.39063,0.007426,0.007426,0.007426
15,7173.09,1.075,1.56625,1.43377,0.68564,0.5793,0.61989,0.4698,0.94484,1.41034,1.36405,0.007228,0.007228,0.007228
16,7646.35,1.06949,1.53666,1.42762,0.67914,0.60777,0.62882,0.47403,0.9429,1.36136,1.37492,0.00703,0.00703,0.00703
17,8119.29,1.05888,1.50074,1.41489,0.6888,0.60649,0.64131,0.48797,0.93039,1.32353,1.34867,0.006832,0.006832,0.006832
18,8591.98,1.03781,1.4539,1.39648,0.7046,0.60845,0.65172,0.50713,0.91854,1.29671,1.34056,0.006634,0.006634,0.006634
19,9064.69,1.03184,1.43484,1.39035,0.72411,0.61003,0.66533,0.51566,0.89998,1.24647,1.3193,0.006436,0.006436,0.006436
20,9537.95,1.02023,1.38833,1.3817,0.71426,0.6222,0.65654,0.50994,0.90079,1.24848,1.32358,0.006238,0.006238,0.006238
21,10012.4,1.02099,1.38002,1.38008,0.75779,0.60549,0.67503,0.52754,0.8829,1.20719,1.30953,0.00604,0.00604,0.00604
22,10486,1.00696,1.3559,1.36748,0.73394,0.61579,0.6709,0.52471,0.89457,1.22317,1.31436,0.005842,0.005842,0.005842
23,10961.6,0.99723,1.32048,1.35778,0.74261,0.63273,0.67657,0.52793,0.88588,1.20272,1.30963,0.005644,0.005644,0.005644
24,11435.5,0.98967,1.30641,1.35778,0.75804,0.62819,0.68734,0.53776,0.88544,1.1718,1.30458,0.005446,0.005446,0.005446
25,11909.9,0.97885,1.27572,1.33992,0.71784,0.65434,0.68403,0.53961,0.87685,1.16955,1.30072,0.005248,0.005248,0.005248
26,12384.2,0.97408,1.25811,1.33877,0.7284,0.64362,0.68725,0.53639,0.87203,1.15556,1.28927,0.00505,0.00505,0.00505
27,12858.6,0.96292,1.23662,1.33095,0.75063,0.64567,0.69075,0.54305,0.87255,1.13795,1.29225,0.004852,0.004852,0.004852
28,13333.6,0.95298,1.20613,1.32254,0.74213,0.64221,0.69669,0.54937,0.8649,1.13183,1.28247,0.004654,0.004654,0.004654
29,13808.4,0.94472,1.19216,1.31646,0.73362,0.6569,0.69679,0.55023,0.86032,1.12299,1.27684,0.004456,0.004456,0.004456
30,14283.1,0.94504,1.18795,1.318,0.76485,0.62989,0.69715,0.55122,0.85991,1.13416,1.27992,0.004258,0.004258,0.004258
31,14757.6,0.93519,1.16045,1.31077,0.73152,0.65308,0.69677,0.55204,0.86598,1.12921,1.28262,0.00406,0.00406,0.00406
32,15232.2,0.93078,1.14343,1.30241,0.76297,0.64286,0.69898,0.55451,0.85698,1.10886,1.27316,0.003862,0.003862,0.003862
33,15706.6,0.92302,1.13188,1.299,0.76349,0.64437,0.70258,0.55449,0.85712,1.10537,1.273,0.003664,0.003664,0.003664
34,16181.3,0.91703,1.11475,1.28917,0.76751,0.65303,0.70539,0.55928,0.85716,1.09946,1.27231,0.003466,0.003466,0.003466
35,16656.3,0.91567,1.10282,1.29037,0.75636,0.66113,0.70815,0.56118,0.85133,1.09059,1.26887,0.003268,0.003268,0.003268
36,17131.3,0.91189,1.0985,1.28935,0.74939,0.66685,0.70903,0.56138,0.85225,1.0839,1.26599,0.00307,0.00307,0.00307
37,17606.3,0.9037,1.08026,1.28074,0.75328,0.65875,0.70741,0.56391,0.85112,1.08255,1.26493,0.002872,0.002872,0.002872
38,18081.5,0.90214,1.06093,1.27963,0.74322,0.66541,0.70894,0.56704,0.85063,1.08203,1.26358,0.002674,0.002674,0.002674
39,18556.5,0.88845,1.04016,1.26758,0.75866,0.65204,0.70948,0.56831,0.84951,1.08226,1.26254,0.002476,0.002476,0.002476
40,19031.5,0.88357,1.03869,1.26874,0.75679,0.65942,0.71341,0.56956,0.8477,1.08088,1.26057,0.002278,0.002278,0.002278
41,19506.1,0.82091,0.87209,1.23191,0.7606,0.65678,0.71424,0.57021,0.84906,1.0795,1.26049,0.00208,0.00208,0.00208
42,19979.4,0.80912,0.84941,1.22239,0.77236,0.65076,0.7152,0.57218,0.84691,1.0733,1.25817,0.001882,0.001882,0.001882
43,20453.5,0.81149,0.84248,1.22026,0.75805,0.65571,0.71433,0.57207,0.84397,1.06648,1.25525,0.001684,0.001684,0.001684
44,20926.9,0.79687,0.82107,1.20924,0.77413,0.6512,0.71627,0.57268,0.84282,1.06344,1.25458,0.001486,0.001486,0.001486
45,21401,0.78736,0.80597,1.20267,0.76808,0.65653,0.71784,0.5737,0.84173,1.05936,1.25391,0.001288,0.001288,0.001288
46,21874,0.78986,0.79815,1.20153,0.7713,0.65577,0.71848,0.57497,0.84113,1.05575,1.25437,0.00109,0.00109,0.00109
47,22347.9,0.7734,0.7733,1.19101,0.76929,0.65736,0.7188,0.57494,0.84152,1.05392,1.25527,0.000892,0.000892,0.000892
