epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,749.014,2.12172,3.70212,2.40512,0.35676,0.14285,0.04985,0.02421,1.86783,7.397,2.44702,0.00332817,0.00332817,0.0700464
2,1418.46,1.59733,3.03617,1.94685,0.1775,0.26174,0.12674,0.07058,1.51567,3.19623,2.02699,0.00652961,0.00652961,0.0399145
3,2083.58,1.47352,2.7787,1.8367,0.15291,0.27486,0.14708,0.08888,1.42874,3.12315,1.95282,0.00959904,0.00959904,0.00965064
4,2748.79,1.39968,2.59748,1.76773,0.2058,0.32666,0.19282,0.11659,1.36372,2.95514,1.87944,0.009406,0.009406,0.009406
5,3414.52,1.33861,2.44222,1.71466,0.30597,0.34361,0.26174,0.17132,1.3064,2.51684,1.8197,0.009208,0.009208,0.009208
6,4080.42,1.30238,2.2924,1.67,0.44741,0.38481,0.35728,0.23614,1.19679,2.19573,1.68258,0.00901,0.00901,0.00901
7,4745.84,1.2677,2.19823,1.64163,0.43329,0.38279,0.36644,0.24445,1.22287,2.18088,1.6909,0.008812,0.008812,0.008812
8,5411.1,1.23454,2.1134,1.60859,0.43312,0.43652,0.3982,0.27807,1.13276,2.05912,1.62033,0.008614,0.008614,0.008614
9,6076.37,1.20751,2.03136,1.57731,0.496,0.46576,0.45042,0.31932,1.09873,1.94828,1.56629,0.008416,0.008416,0.008416
10,6741.28,1.18567,1.96081,1.55397,0.45062,0.49092,0.45954,0.32438,1.07096,1.90418,1.53961,0.008218,0.008218,0.008218
11,7406.57,1.16721,1.90436,1.53885,0.53757,0.47693,0.48042,0.34089,1.06906,1.81391,1.54273,0.00802,0.00802,0.00802
12,8072.26,1.15599,1.8461,1.52883,0.60745,0.4917,0.53077,0.38121,1.052,1.73596,1.51088,0.007822,0.007822,0.007822
13,8736.83,1.13726,1.79563,1.50635,0.60142,0.48675,0.52644,0.38643,1.01232,1.67173,1.48353,0.007624,0.007624,0.007624
14,9402.14,1.12697,1.75089,1.49866,0.62553,0.52705,0.56414,0.41755,0.99862,1.57667,1.46455,0.007426,0.007426,0.007426
15,10067.2,1.1065,1.70173,1.47967,0.64027,0.536,0.57585,0.42845,0.97603,1.5525,1.43682,0.007228,0.007228,0.007228
16,10733.3,1.10338,1.67064,1.47371,0.65849,0.5398,0.58514,0.43829,0.97442,1.51248,1.43898,0.00703,0.00703,0.00703
17,11399.2,1.09371,1.63609,1.46626,0.65395,0.53727,0.58757,0.43993,0.95817,1.49213,1.42487,0.006832,0.006832,0.006832
18,12064.3,1.07361,1.58804,1.44724,0.65791,0.55945,0.60482,0.45721,0.9502,1.4611,1.41838,0.006634,0.006634,0.006634
19,12729.2,1.0647,1.57438,1.43784,0.65857,0.5808,0.62057,0.46794,0.94379,1.40282,1.40086,0.006436,0.006436,0.006436
20,13395.6,1.05299,1.53435,1.43179,0.71691,0.5686,0.63283,0.48381,0.91962,1.37885,1.38377,0.006238,0.006238,0.006238
21,14060.5,1.05433,1.51706,1.4286,0.69636,0.57601,0.63033,0.48064,0.91978,1.36526,1.38084,0.00604,0.00604,0.00604
22,14726,1.0394,1.4925,1.41753,0.69889,0.58974,0.63397,0.4909,0.90534,1.34836,1.36949,0.005842,0.005842,0.005842
23,15392.8,1.02799,1.45469,1.40564,0.69084,0.59286,0.64449,0.49791,0.9033,1.32441,1.36869,0.005644,0.005644,0.005644
24,16058.2,1.02433,1.43831,1.40842,0.71964,0.59191,0.65055,0.50306,0.90288,1.30022,1.3667,0.005446,0.005446,0.005446
25,16724.3,1.01467,1.40835,1.39133,0.70397,0.61458,0.65042,0.50415,0.89132,1.29554,1.35454,0.005248,0.005248,0.005248
26,17390.7,1.00243,1.38044,1.38357,0.71401,0.59866,0.65382,0.51329,0.88323,1.26817,1.34715,0.00505,0.00505,0.00505
27,18057.5,0.99369,1.36029,1.37545,0.74256,0.60931,0.66013,0.51711,0.88492,1.25474,1.34816,0.004852,0.004852,0.004852
28,18724,0.98699,1.33026,1.37237,0.7394,0.60859,0.66576,0.52393,0.87526,1.25353,1.33493,0.004654,0.004654,0.004654
29,19390.4,0.97831,1.31348,1.36458,0.744,0.59753,0.66665,0.52707,0.87057,1.23377,1.33265,0.004456,0.004456,0.004456
30,20057.9,0.97671,1.30289,1.36237,0.7179,0.63051,0.67295,0.52896,0.86956,1.22371,1.32724,0.004258,0.004258,0.004258
31,20724.3,0.9642,1.27834,1.35491,0.73264,0.62333,0.67283,0.53175,0.86091,1.21823,1.32138,0.00406,0.00406,0.00406
32,21391.8,0.96161,1.26527,1.34743,0.73443,0.62189,0.67437,0.53519,0.86272,1.21601,1.32126,0.003862,0.003862,0.003862
33,22059.5,0.95157,1.24409,1.34244,0.73431,0.61844,0.67459,0.53452,0.86507,1.20736,1.31995,0.003664,0.003664,0.003664
34,22729,0.94393,1.22724,1.33348,0.72866,0.63131,0.67995,0.53859,0.86406,1.19473,1.31762,0.003466,0.003466,0.003466
35,23397.4,0.94273,1.21513,1.33331,0.73379,0.61843,0.68255,0.54172,0.85895,1.18392,1.315,0.003268,0.003268,0.003268
36,24066.6,0.94143,1.20495,1.33371,0.73197,0.63202,0.68358,0.54286,0.85864,1.18113,1.31152,0.00307,0.00307,0.00307
37,24735.8,0.93275,1.18841,1.3231,0.7513,0.62545,0.68641,0.54587,0.85569,1.17586,1.30846,0.002872,0.002872,0.002872
38,25404.4,0.93151,1.16928,1.32218,0.75865,0.62262,0.68717,0.5455,0.85721,1.1747,1.30901,0.002674,0.002674,0.002674
39,26075.2,0.91655,1.14429,1.31052,0.74617,0.63066,0.69028,0.54902,0.85361,1.16892,1.30479,0.002476,0.002476,0.002476
40,26748.1,0.91024,1.14135,1.31019,0.74659,0.62525,0.6895,0.5485,0.85334,1.16439,1.30482,0.002278,0.002278,0.002278
41,27418,0.85238,0.99161,1.28194,0.74482,0.63006,0.6912,0.55141,0.85189,1.15597,1.30422,0.00208,0.00208,0.00208
42,28086.2,0.84195,0.96321,1.27371,0.73091,0.63463,0.69285,0.55472,0.84825,1.14633,1.30106,0.001882,0.001882,0.001882
43,28752.6,0.83833,0.95223,1.26678,0.72252,0.64447,0.69498,0.55754,0.84501,1.13895,1.29954,0.001684,0.001684,0.001684
44,29419.8,0.82817,0.92894,1.25354,0.74878,0.63142,0.69802,0.5599,0.84269,1.1295,1.29812,0.001486,0.001486,0.001486
45,30086.8,0.81859,0.91112,1.24832,0.75349,0.63691,0.69904,0.56187,0.84063,1.12418,1.29783,0.001288,0.001288,0.001288
46,30753.3,0.8193,0.90499,1.24608,0.74466,0.63903,0.69836,0.56096,0.83996,1.12199,1.29742,0.00109,0.00109,0.00109
47,31421.3,0.80285,0.87946,1.23673,0.75612,0.63348,0.6988,0.56049,0.83981,1.11905,1.29791,0.000892,0.000892,0.000892
48,32088,0.80844,0.87449,1.23754,0.75136,0.63667,0.69988,0.56175,0.83933,1.11819,1.29739,0.000694,0.000694,0.000694
49,32756.2,0.79643,0.85816,1.23012,0.76158,0.63283,0.70018,0.56203,0.83905,1.11805,1.29693,0.000496,0.000496,0.000496
50,33423.9,0.79087,0.85141,1.22625,0.7567,0.63759,0.70014,0.56219,0.83865,1.11863,1.29661,0.000298,0.000298,0.000298
